Orthogroup	DSUP.longest_only	DSER.longest_only
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC119563094|XP_037732252.1|DSUP	LOC110186265|XP_020811031.1|DSER
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC119562016|XP_037731317.1|DSUP	LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC119563229|XP_037732462.1|DSUP	LOC110186288|XP_020811061.1|DSER
OG0000000	LOC119547184|XP_037709847.1|DSUP	LOC110185901|XP_020810577.1|DSER
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC119552808|XP_037718574.1|DSUP	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC119555360|XP_037722626.1|DSUP	LOC110190479|XP_020816650.1|DSER
OG0000000	LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP	LOC110185197|XP_020809581.1|DSER
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC119550446|XP_037715049.1|DSUP	LOC110179248|XP_020802366.1|DSER
OG0000002	LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC119546867|XP_037709399.1|DSUP	LOC110184909|XP_020809214.1|DSER
OG0000002	LOC119547562|XP_037710391.1|DSUP	LOC110184848|XP_020809147.1|DSER
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC110177747|XP_020800264.1|DSER
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC119549194|XP_037712951.1|DSUP	LOC110177694|XP_020800177.1|DSER
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC119551760|XP_037717215.1|DSUP	LOC110176203|XP_020798127.1|DSER
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC119559172|XP_037728161.1|DSUP, LOC119561436|XP_037731018.1|DSUP, LOC119561507|XP_037731086.1|DSUP, LOC119547987|XP_037710970.1|DSUP, LOC119547988|XP_037710972.1|DSUP, LOC119546069|XP_037708068.1|DSUP, LOC119561521|XP_037731100.1|DSUP, LOC119561518|XP_037731097.1|DSUP, LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP, LOC119561429|XP_037731011.1|DSUP, LOC119559242|XP_037728241.1|DSUP, LOC119559173|XP_037728162.1|DSUP, LOC119559174|XP_037728163.1|DSUP, LOC119561440|XP_037731020.1|DSUP, LOC119559179|XP_037728167.1|DSUP, LOC119546618|XP_037708984.1|DSUP, LOC119561433|XP_037731015.1|DSUP, LOC119559178|XP_037728166.1|DSUP, LOC119547940|XP_037710915.1|DSUP, LOC119561511|XP_037731090.1|DSUP, LOC119548245|XP_037711313.1|DSUP, LOC119559232|XP_037728231.1|DSUP, LOC119561428|XP_037731010.1|DSUP, LOC119561434|XP_037731016.1|DSUP, LOC119559226|XP_037728224.1|DSUP, LOC119561431|XP_037731013.1|DSUP, LOC119561435|XP_037731017.1|DSUP, LOC119559225|XP_037728223.1|DSUP, LOC119559219|XP_037728218.1|DSUP, LOC119561432|XP_037731014.1|DSUP, LOC119559218|XP_037728217.1|DSUP, LOC119547941|XP_037710916.1|DSUP, LOC119561427|XP_037731009.1|DSUP, LOC119559175|XP_037728164.1|DSUP, LOC119559177|XP_037728165.1|DSUP, LOC119561512|XP_037731091.1|DSUP, LOC119559231|XP_037728230.1|DSUP, LOC119546960|XP_037709531.1|DSUP, LOC119559171|XP_037728160.1|DSUP, LOC119561438|XP_037731019.1|DSUP, LOC119561510|XP_037731089.1|DSUP	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER
OG0000004	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP	LOC110182445|XP_020806139.1|DSER
OG0000005	LOC119559217|XP_037728216.1|DSUP, LOC119559243|XP_037728242.1|DSUP, LOC119559230|XP_037728229.1|DSUP, LOC119559236|XP_037728234.1|DSUP, LOC119559223|XP_037728222.1|DSUP, LOC119559229|XP_037728228.1|DSUP, LOC119559222|XP_037728221.1|DSUP	LOC110182167|XP_020805828.1|DSER
OG0000006	LOC119559191|XP_037728179.1|DSUP	LOC110182424|XP_020806119.1|DSER
OG0000006	LOC119559257|XP_037728256.1|DSUP	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC119559184|XP_037728173.1|DSUP	LOC110180700|XP_020804040.1|DSER
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC119554490|XP_037721351.1|DSUP	LOC110184693|XP_020808964.1|DSER
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
