Orthogroup	DSUZ.longest_only	AALB.longest_only
OG0000001	LOC118879778|XP_036678653.1|DSUZ, LOC118878795|XP_036677709.1|DSUZ, LOC118879348|XP_036678093.1|DSUZ	LOC118468339|XP_035794991.1|AALB
OG0000001	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ, LOC118878459|XP_036677349.1|DSUZ	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC118458183|XP_035776304.1|AALB
OG0000006	LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC118460626|XP_035780968.1|AALB
