Orthogroup	DKIK.longest_only	DALB.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK, LOC108085308|XP_017037355.1|DKIK, LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK, LOC108085312|XP_017037357.1|DKIK, LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK, LOC108080870|XP_017031262.1|DKIK, LOC108080867|XP_017031259.1|DKIK, LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK, LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK, LOC108073703|XP_017020927.1|DKIK, LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK, LOC108082281|XP_017033101.1|DKIK, LOC108075384|XP_017023284.1|DKIK, LOC108076851|XP_017025370.1|DKIK, LOC108086044|XP_017038352.1|DKIK	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC117566658|XP_034102093.1|DALB
OG0000000	LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK	LOC117570317|XP_034107750.1|DALB
OG0000002	LOC108082125|XP_017032915.1|DKIK, LOC108076145|XP_017024362.1|DKIK	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC108082094|XP_017032879.1|DKIK	LOC117572767|XP_034111746.1|DALB
OG0000002	LOC108080319|XP_017030503.1|DKIK, LOC108079700|XP_017029594.1|DKIK, LOC108073777|XP_017021033.1|DKIK, LOC108073812|XP_017021076.1|DKIK, LOC108074354|XP_017021869.1|DKIK, LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000004	LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC117564282|XP_034098871.1|DALB, LOC117565595|XP_034100685.1|DALB, LOC117565594|XP_034100684.1|DALB, LOC117564287|XP_034098877.1|DALB, LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
