Orthogroup	ASTE.longest_only	DSUZ.longest_only
OG0000001	LOC118515210|XP_035917798.1|ASTE	LOC118878656|XP_036677592.1|DSUZ
OG0000001	LOC118508413|XP_035904112.1|ASTE	LOC118879529|XP_036678279.1|DSUZ
OG0000001	LOC118510932|XP_035909246.1|ASTE	LOC118878459|XP_036677349.1|DSUZ
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC118879645|XP_036678432.1|DSUZ
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC108020009|XP_016943583.1|DSUZ
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC108014185|XP_016935709.1|DSUZ, LOC108014181|XP_016935705.2|DSUZ, LOC108011538|XP_036673111.1|DSUZ, LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ, LOC108011415|XP_036670407.1|DSUZ, LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC118877317|XP_036671430.1|DSUZ
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC108010292|XP_016930652.1|DSUZ, LOC108009919|XP_016930137.1|DSUZ, LOC108009918|XP_016930133.2|DSUZ, LOC108010305|XP_016930677.1|DSUZ, LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC108015759|XP_036673283.1|DSUZ, LOC108007391|XP_016926534.2|DSUZ
