Orthogroup	DEUG.longest_only	Other
OG0000014	LOC108118106|XP_017086149.1|DEUG	LOC117141766|XP_033161286.1|DMAU
OG0000014	LOC108118106|XP_017086149.1|DEUG	LOC117194202|XP_033254747.1|DMIR
OG0000014	LOC108118106|XP_017086149.1|DEUG	LOC117184937|XP_033240069.1|DPSE
OG0000014	LOC108118106|XP_017086149.1|DEUG	LOC116652015|XP_032295550.1|DVIR
OG0000014	LOC108118106|XP_017086149.1|DEUG	LOC120320742|XP_039227211.1|DYAK
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC6623443|XP_002046145.1|DVIR
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC115762728|XP_030560922.1|DNOV
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC6032081|XP_001842747.1|CQUI
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC120425088|XP_039445415.1|CPIP
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC5577643|XP_001656641.1|AAEG
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC6506166|XP_001958429.1|DANA
OG0000018	LOC108107604|XP_017070659.1|DEUG, LOC108107646|XP_017070720.1|DEUG	LOC6506166|XP_001958429.1|DANA
OG0000031	LOC108105922|XP_017068599.1|DEUG	LOC119766071|XP_038106378.1|CQUI
OG0000031	LOC108102303|XP_017066607.1|DEUG	LOC118503626|XP_035893008.1|ASTE
OG0000047	LOC108106728|XP_017069453.1|DEUG	LOC117580524|XP_034123007.1|DGUA, LOC117580525|XP_034123009.1|DGUA
OG0000047	LOC108106728|XP_017069453.1|DEUG	LOC117194873|XP_033255228.1|DMIR, LOC117190172|XP_033251125.1|DMIR, LOC117192459|XP_033253049.1|DMIR, LOC117193977|XP_033254515.1|DMIR, LOC117193990|XP_033254522.1|DMIR, LOC117191230|XP_033252040.1|DMIR
OG0000071	LOC108113923|XP_017080119.1|DEUG	LOC118508074|XP_035903431.1|ASTE
OG0000071	LOC108113923|XP_017080119.1|DEUG	LOC5565474|XP_001649820.2|AAEG
OG0000120	LOC108105484|XP_017067590.1|DEUG	LOC6496786|XP_001965770.1|DANA
OG0000157	LOC108104458|XP_017066010.1|DEUG	LOC117193637|XP_033254273.1|DMIR
OG0000171	LOC108105797|XP_017068018.1|DEUG	LOC115268592|XP_029732566.1|AEAL
OG0000239	LOC108116216|XP_017083493.1|DEUG, LOC108116215|XP_017083491.1|DEUG, LOC108109204|XP_017073181.1|DEUG	LOC115482805|XP_030078778.1|DHYD
OG0000255	LOC108106567|XP_017069222.1|DEUG	LOC5578920|XP_001657206.1|AAEG
OG0000259	LOC108110566|XP_017075152.1|DEUG	LOC108019126|XP_016942349.1|DSUZ
OG0000259	LOC108110566|XP_017075152.1|DEUG	LOC119548268|XP_037711343.1|DSUP
OG0000259	LOC108110566|XP_017075152.1|DEUG	LOC108036706|XP_016968492.1|DBIA
OG0000259	LOC108110566|XP_017075152.1|DEUG	LOC108098711|XP_017057315.1|DFIC, LOC108090800|XP_017045177.1|DFIC
OG0000301	LOC108102385|XP_017062811.1|DEUG	LOC118456217|XP_035772695.1|AALB
OG0000364	LOC108113606|XP_017079757.1|DEUG	LOC111603056|XP_030081833.1|DHYD
OG0000480	LOC108116268|XP_017083581.1|DEUG	LOC115263401|XP_029722545.1|AEAL
OG0000639	LOC108114134|XP_017080399.1|DEUG	LOC119766935|XP_038109439.1|CQUI
OG0000843	LOC108107457|XP_017070493.1|DEUG	LOC6047696|XP_038104663.1|CQUI
OG0000939	LOC108106826|XP_017069552.1|DEUG	LOC117893086|XP_034655403.1|DSUB
OG0000939	LOC108106826|XP_017069552.1|DEUG	LOC6901920|XP_033240727.1|DPSE
OG0000964	LOC108109937|XP_017074227.1|DEUG	LOC6035895|XP_038106137.1|CQUI
OG0000997	LOC108113114|XP_017079100.1|DEUG	LOC115269910|XP_029734571.1|AEAL
OG0001050	LOC108114373|XP_017080814.1|DEUG	LOC119770659|XP_038121888.1|CQUI
OG0001094	LOC108105740|XP_017067943.1|DEUG	LOC6634092|XP_032289019.1|DVIR
OG0001094	LOC108105740|XP_017067943.1|DEUG	LOC111600341|XP_023172173.2|DHYD
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC108605239|XP_017850341.1|DBUS
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC6503124|XP_001963467.1|DANA
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC4815583|XP_001355499.1|DPSE
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC6602893|XP_002027916.1|DPER
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC117898596|XP_034664037.1|DSUB
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC115628911|XP_030381032.1|SLEB
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC117591372|XP_034140502.1|DGUA
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC111598167|XP_023169023.1|DHYD
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC108080121|XP_017030241.1|DKIK
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC115768318|XP_030568727.1|DNOV
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC6634545|XP_002058289.1|DVIR
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC110175972|XP_020797825.1|DSER
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC108097794|XP_017055814.1|DFIC
OG0001105	LOC108105089|XP_017067005.1|DEUG	LOC108097794|XP_017055814.1|DFIC
OG0001119	LOC108113663|XP_017079828.1|DEUG	LOC108027956|XP_016955071.1|DBIA
OG0001119	LOC108113663|XP_017079828.1|DEUG	LOC108080752|XP_017031095.1|DKIK
OG0001119	LOC108113663|XP_017079828.1|DEUG	LOC108098668|XP_017057251.1|DFIC
OG0001166	LOC108107685|XP_017070763.1|DEUG	LOC6903282|XP_033235587.1|DPSE
OG0001284	LOC108113475|XP_017079587.1|DEUG	LOC26532832|XP_015044419.2|DPSE
OG0001291	LOC108105438|XP_017067512.1|DEUG	LOC109412699|XP_019541866.2|AEAL
OG0001291	LOC108105438|XP_017067512.1|DEUG	LOC120428474|XP_039449422.1|CPIP
OG0001308	LOC108103305|XP_017064217.1|DEUG	LOC117147216|XP_033169921.1|DMAU
OG0001308	LOC108103305|XP_017064217.1|DEUG	LOC6724945|XP_016037809.1|DSIM
OG0001340	LOC108105200|XP_017067141.1|DEUG	LOC115269180|XP_029733449.1|AEAL
OG0001481	LOC108115472|XP_017082421.1|DEUG	LOC110680971|XP_021712436.1|AAEG
OG0001521	LOC108106984|XP_017069809.1|DEUG	LOC115482924|XP_030079089.1|DHYD
OG0001542	LOC108109665|XP_017073775.1|DEUG	LOC6632523|XP_015025960.1|DVIR
OG0001542	LOC108109665|XP_017073775.1|DEUG	LOC115765076|XP_030564312.1|DNOV
OG0001542	LOC108109665|XP_017073775.1|DEUG	LOC111602601|XP_030081615.1|DHYD
OG0001542	LOC108109665|XP_017073775.1|DEUG	LOC108604323|XP_017849237.1|DBUS
OG0001542	LOC108109665|XP_017073775.1|DEUG	LOC120780966|XP_039969127.1|BTRY
OG0001542	LOC108109665|XP_017073775.1|DEUG	CCAP1982_LOCUS3519|CAD6994788.1|CCAP, CCAP1982_LOCUS3518|CAD6994787.1|CCAP
OG0001542	LOC108109665|XP_017073775.1|DEUG	LOC115630005|XP_030382491.1|SLEB
OG0001568	LOC108111664|XP_017076684.1|DEUG	LOC117188390|XP_033248086.1|DMIR
OG0001573	LOC108107794|XP_017070994.1|DEUG	LOC115483418|XP_030081175.1|DHYD
OG0001573	LOC108107794|XP_017070994.1|DEUG	LOC117572790|XP_034111784.1|DALB
