Orthogroup	ASTE.longest_only	DMAU.longest_only
OG0000001	LOC118502349|XP_035890818.1|ASTE	LOC117139036|XP_033157028.1|DMAU, LOC117149992|XP_033172772.1|DMAU, LOC117139516|XP_033157765.1|DMAU, LOC117136528|XP_033153363.1|DMAU, LOC117142606|XP_033162575.1|DMAU, LOC117137930|XP_033155574.1|DMAU
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	LOC117136934|XP_033153971.1|DMAU
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC117140617|XP_033159524.1|DMAU
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC117145423|XP_033166959.1|DMAU, LOC117143759|XP_033164466.1|DMAU, LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU, LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU, LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC117142722|XP_033162774.1|DMAU
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC117136761|XP_033153688.1|DMAU, LOC117136760|XP_033153687.1|DMAU, LOC117136898|XP_033153902.1|DMAU, LOC117137864|XP_033155471.1|DMAU, LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC117142344|XP_033162152.1|DMAU, LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC117143253|XP_033163704.1|DMAU, LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC117140134|XP_033158791.1|DMAU
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC117143636|XP_033164304.1|DMAU, LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU, LOC117145918|XP_033167668.1|DMAU, LOC117143368|XP_033163935.1|DMAU, LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC117142241|XP_033161985.1|DMAU, LOC117143646|XP_033164316.1|DMAU, LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC117138252|XP_033156103.1|DMAU, LOC117139751|XP_033158206.1|DMAU, LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU, LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC117144283|XP_033165277.1|DMAU, LOC117144284|XP_033165278.1|DMAU, LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU, LOC117144278|XP_033165272.1|DMAU, LOC117144775|XP_033166033.1|DMAU, LOC117144277|XP_033165271.1|DMAU, LOC117144765|XP_033166018.1|DMAU
