Orthogroup	DGUA.longest_only	DBUS.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC108608148|XP_017854884.1|DBUS
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC117134690|XP_033149085.1|DBUS
OG0000007	LOC117587429|XP_034133994.1|DGUA	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC117586140|XP_034131924.1|DGUA	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC117579397|XP_034121167.1|DGUA	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC117581836|XP_034125174.1|DGUA	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC117586165|XP_034131957.1|DGUA	LOC108601548|XP_017844935.1|DBUS
