Orthogroup	SLEB.longest_only	DMEL.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	CG33700|NP_001027121.3|DMEL
OG0000000	LOC115634408|XP_030387964.1|SLEB	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL, CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL, CG33775|NP_001027410.1|DMEL
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	CG33687|NP_001027130.2|DMEL, CG33690|NP_001368948.1|DMEL, CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	CG12849|NP_611969.2|DMEL
OG0000000	LOC115625399|XP_030376298.1|SLEB	CG33654|NP_001027165.1|DMEL
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC115632651|XP_030385741.1|SLEB	CG14518|NP_651653.2|DMEL
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	CG9500|NP_609018.3|DMEL
OG0000003	LOC115620029|XP_030368994.1|SLEB	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC115620049|XP_030369030.1|SLEB	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC115634646|XP_030388364.1|SLEB	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC115628616|XP_030380660.1|SLEB	Cyp6a16|NP_001285631.1|DMEL
