Orthogroup	DSER.longest_only	DFIC.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC110186911|XP_020811890.1|DSER	LOC108086783|XP_017039312.1|DFIC
OG0000000	LOC110186265|XP_020811031.1|DSER	LOC108098802|XP_017057433.1|DFIC
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC110186290|XP_020811063.1|DSER, LOC110186288|XP_020811061.1|DSER	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC108089293|XP_017042959.1|DFIC
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC108089294|XP_017042961.1|DFIC
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC108092580|XP_017047713.1|DFIC
OG0000002	LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER	LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC110177680|XP_020800160.1|DSER	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC110177694|XP_020800177.1|DSER	LOC108099209|XP_017058075.1|DFIC
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC108090319|XP_017044419.1|DFIC
OG0000003	LOC110176203|XP_020798127.1|DSER	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
OG0000004	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER	LOC108094043|XP_017049969.1|DFIC
OG0000005	LOC110180682|XP_020804025.1|DSER, LOC110180705|XP_020804044.1|DSER, LOC110181332|XP_020804709.1|DSER, LOC110180664|XP_020804014.1|DSER, LOC110182134|XP_020805803.1|DSER, LOC110180672|XP_020804018.1|DSER, LOC110182438|XP_020806132.1|DSER, LOC110182143|XP_020805813.1|DSER, LOC110180686|XP_020804030.1|DSER, LOC110182160|XP_020805822.1|DSER, LOC110182156|XP_020805819.1|DSER, LOC110180660|XP_020804010.1|DSER, LOC110182425|XP_020806120.1|DSER, LOC110182142|XP_020805812.1|DSER, LOC110180704|XP_020804042.1|DSER, LOC110180687|XP_020804031.1|DSER, LOC110180706|XP_020804045.1|DSER, LOC110180683|XP_020804027.1|DSER, LOC110182159|XP_020805821.1|DSER, LOC110182412|XP_020806108.1|DSER, LOC110182419|XP_020806115.1|DSER	LOC108094052|XP_017049981.1|DFIC
