Orthogroup	ASTE.longest_only	DMEL.longest_only
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE	CG9500|NP_609018.3|DMEL
OG0000006	LOC118517636|XP_035919841.1|ASTE	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC118508036|XP_035903331.1|ASTE	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC118509007|XP_035904915.1|ASTE	Crys|NP_476906.1|DMEL
OG0000008	LOC118506772|XP_035900260.1|ASTE	Cpr64Ab|NP_647873.2|DMEL
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	CG11453|NP_650832.1|DMEL, CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL, CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL
OG0000010	LOC118503730|XP_035893236.1|ASTE	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC118509785|XP_035906820.1|ASTE	His4_CG33883|NP_001027347.1|DMEL
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	CG9416|NP_611415.2|DMEL, CG10051|NP_611414.1|DMEL, CG11961|NP_725876.1|DMEL, CG10062|NP_001261089.1|DMEL, CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL
OG0000013	LOC118507210|XP_035901192.1|ASTE	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC118503015|XP_035891731.1|ASTE	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	Hsp68|NP_524474.1|DMEL, Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000016	LOC118502962|XP_035891619.1|ASTE	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL
OG0000016	LOC118503654|XP_035893068.1|ASTE	Arp1|NP_524331.2|DMEL
OG0000016	LOC118505170|XP_035896494.1|ASTE	Act5C|NP_511052.1|DMEL
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	Act79B|NP_524210.1|DMEL
OG0000018	LOC118513024|XP_035914194.1|ASTE	Cpr65Av|NP_729146.1|DMEL
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC118507513|XP_035901949.1|ASTE	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL
OG0000020	LOC118509588|XP_035906253.1|ASTE	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	flw|NP_727418.1|DMEL
OG0000021	LOC118505796|XP_035898023.1|ASTE	Pp1alpha-96A|NP_524484.1|DMEL, Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL
OG0000022	LOC118510588|XP_035908481.1|ASTE	CG7798|NP_611098.1|DMEL, LysX|NP_523881.1|DMEL, LysE|NP_476827.2|DMEL, LysB|NP_523882.1|DMEL, LysD|NP_476823.1|DMEL, LysS|NP_476829.1|DMEL, LysP|NP_476828.1|DMEL
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	alpha-Est6|NP_524262.1|DMEL, alpha-Est5|NP_001246965.1|DMEL, alpha-Est3|NP_524267.2|DMEL, alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL, alpha-Est7|NP_524261.1|DMEL, alpha-Est9|NP_731165.2|DMEL, alpha-Est8|NP_524259.2|DMEL, alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC118507315|XP_035901591.1|ASTE	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL, epsilonTry|NP_525112.1|DMEL, CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL, Ser8|NP_610874.1|DMEL
OG0000025	LOC118514136|XP_035916629.1|ASTE	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC118509777|XP_035906810.1|ASTE	His3_CG33815|NP_001027303.1|DMEL, His3_CG33866|NP_001027387.1|DMEL, His3_CG33839|NP_001027343.1|DMEL
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	Acp1|NP_477115.1|DMEL, CG7203|NP_609143.2|DMEL, CG7214|NP_609141.1|DMEL
OG0000028	LOC118513512|XP_035915261.1|ASTE	CG32214|NP_730409.2|DMEL, 825-Oak|NP_730410.2|DMEL, CG32213|NP_730413.2|DMEL, CG14095|NP_649112.1|DMEL, CG14096|NP_649113.1|DMEL, CG18294|NP_649115.2|DMEL, CG12519|NP_001262046.1|DMEL, CG32212|NP_730416.1|DMEL, CG13068|NP_648856.1|DMEL
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	CheA86a|NP_001027174.1|DMEL, CheA46a|NP_001027399.1|DMEL, CheA56a|NP_001027438.1|DMEL, CheA29a|NP_788004.1|DMEL, CheA84a|NP_001027150.1|DMEL, CheA75a|NP_649035.2|DMEL
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	CG4793|NP_723941.2|DMEL, CG18477|NP_609763.1|DMEL, CG31780|NP_723920.1|DMEL, SPH93|NP_609840.1|DMEL, CG14990|NP_647856.2|DMEL, CG3117|NP_608722.2|DMEL, CG18478|NP_609764.1|DMEL, CG31827|NP_723923.1|DMEL
