Orthogroup	DYAK.longest_only	DSIM.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC26536205|XP_015052957.2|DYAK	LOC6734181|XP_016027194.1|DSIM
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC6536389|XP_002096971.3|DYAK	LOC6730296|XP_039151807.1|DSIM
OG0000000	LOC6538960|XP_002099463.2|DYAK	LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC6731633|XP_002078773.1|DSIM
OG0000000	LOC26536234|XP_015048941.1|DYAK	LOC6729478|XP_002104788.3|DSIM
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC6734251|XP_039147854.1|DSIM
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK	LOC27209298|XP_016030381.1|DSIM
OG0000000	LOC6526414|XP_002087533.2|DYAK	LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM
OG0000000	LOC6532990|XP_039229806.1|DYAK	LOC6736799|XP_039149212.1|DSIM
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC6538949|XP_002099452.1|DYAK	LOC6730282|XP_002105565.2|DSIM
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC6732608|XP_002079727.1|DSIM
