Orthogroup	DMIR.longest_only	BTRY.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR, LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	LOC117185812|XP_033243800.1|DMIR, LOC108165373|XP_017156898.2|DMIR, LOC108151290|XP_017135310.1|DMIR, LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR, LOC108153842|XP_033245237.1|DMIR, LOC108156429|XP_017143371.1|DMIR, LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR, LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR, LOC108154033|XP_017139614.1|DMIR, LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR, LOC108153951|XP_017139538.1|DMIR, LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR, LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR, LOC108154608|XP_017140414.2|DMIR, LOC108154051|XP_017139631.2|DMIR, LOC108154052|XP_017139633.1|DMIR, LOC108153871|XP_033244797.1|DMIR, LOC108153866|XP_017139453.1|DMIR, LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR, LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR, LOC108153868|XP_017139455.1|DMIR, LOC108154010|XP_033246058.1|DMIR	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000001	LOC117193719|XP_033254335.1|DMIR, LOC117190985|XP_033251856.1|DMIR, LOC117188067|XP_033247232.1|DMIR, LOC117186429|XP_033243124.1|DMIR, LOC117186350|XP_033242949.1|DMIR, LOC117190965|XP_033251845.1|DMIR, LOC117193360|XP_033253966.1|DMIR, LOC117190662|XP_033251608.1|DMIR, LOC117193513|XP_033254148.1|DMIR, LOC117193461|XP_033254111.1|DMIR, LOC117188882|XP_033249301.1|DMIR, LOC117190672|XP_033251629.1|DMIR	LOC120780121|XP_039968338.1|BTRY
OG0000001	LOC117189970|XP_033250943.1|DMIR, LOC117191669|XP_033252365.1|DMIR, LOC117193543|XP_033254178.1|DMIR, LOC117188214|XP_033247602.1|DMIR, LOC117191840|XP_033252499.1|DMIR, LOC117190823|XP_033251752.1|DMIR, LOC117192642|XP_033253256.1|DMIR, LOC117188305|XP_033247831.1|DMIR, LOC117186228|XP_033242549.1|DMIR, LOC117193366|XP_033253976.1|DMIR, LOC117190168|XP_033251121.1|DMIR, LOC117188399|XP_033248125.1|DMIR, LOC117192640|XP_033253257.1|DMIR, LOC117186450|XP_033243174.1|DMIR, LOC117186708|XP_033243711.1|DMIR	LOC120780959|XP_039969124.1|BTRY, LOC120781964|XP_039970070.1|BTRY, LOC120779599|XP_039967877.1|BTRY, LOC120767828|XP_039950050.1|BTRY, LOC120780887|XP_039969057.1|BTRY, LOC120781799|XP_039969956.1|BTRY, LOC120781823|XP_039969977.1|BTRY, LOC120780392|XP_039968612.1|BTRY, LOC120781066|XP_039969152.1|BTRY, LOC120779633|XP_039967914.1|BTRY, LOC120770632|XP_039954168.1|BTRY, LOC120781297|XP_039969428.1|BTRY, LOC120770664|XP_039954188.1|BTRY, LOC120780689|XP_039968888.1|BTRY, LOC120780404|XP_039968623.1|BTRY, LOC120780801|XP_039968983.1|BTRY, LOC120780219|XP_039968408.1|BTRY, LOC120766565|XP_039948089.1|BTRY, LOC120781814|XP_039969966.1|BTRY, LOC120780002|XP_039968221.1|BTRY, LOC120773404|XP_039958200.1|BTRY, LOC120769411|XP_039952323.1|BTRY
OG0000001	LOC117192523|XP_033253108.1|DMIR, LOC117189926|XP_033250889.1|DMIR	LOC120781507|XP_039969664.1|BTRY, LOC120781523|XP_039969677.1|BTRY, LOC120768683|XP_039951393.1|BTRY, LOC120768702|XP_039951408.1|BTRY, LOC120768701|XP_039951407.1|BTRY, LOC120780857|XP_039969026.1|BTRY, LOC120781828|XP_039969983.1|BTRY, LOC120781123|XP_039969191.1|BTRY, LOC120779390|XP_039967521.1|BTRY, LOC120768688|XP_039951398.1|BTRY, LOC120768687|XP_039951397.1|BTRY, LOC120767769|XP_039949942.1|BTRY
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY, LOC120774624|XP_039960282.1|BTRY, LOC120779341|XP_039967474.1|BTRY, LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC120773128|XP_039958058.1|BTRY
OG0000003	LOC108160529|XP_017150078.1|DMIR, LOC108160375|XP_017149841.1|DMIR	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC120770285|XP_039953555.1|BTRY
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY
OG0000004	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY
OG0000005	LOC117187304|XP_033245566.1|DMIR	LOC120767519|XP_039949547.1|BTRY
OG0000005	LOC117187306|XP_033245568.1|DMIR, LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR	LOC120767523|XP_039949552.1|BTRY
OG0000005	LOC108156706|XP_017143843.1|DMIR	LOC120767516|XP_039949544.1|BTRY
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC120767509|XP_039949536.1|BTRY
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC120767512|XP_039949539.1|BTRY, LOC120781340|XP_039969478.1|BTRY
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC120778027|XP_039965634.1|BTRY
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY
OG0000007	LOC108152481|XP_017137344.1|DMIR, LOC108152482|XP_017137345.1|DMIR	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY
OG0000007	LOC108163948|XP_017154978.1|DMIR, LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR, LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR, LOC108164248|XP_017155372.1|DMIR, LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR, LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC120782797|XP_039971208.1|BTRY
