Orthogroup	DMAU.longest_only	DVIR.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC6627080|XP_002049905.2|DVIR
