Orthogroup	DPSE.longest_only	BTRY.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE, LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE, LOC6896908|XP_033233090.1|DPSE, LOC6898695|XP_002138700.2|DPSE	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	LOC117184977|XP_033240205.1|DPSE, LOC6900000|XP_002135366.3|DPSE, LOC6899999|XP_033240207.1|DPSE, LOC4804691|XP_001361210.2|DPSE, LOC6896672|XP_033232290.1|DPSE, LOC26532949|XP_015039423.1|DPSE, LOC6896676|XP_033241757.1|DPSE, LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE, LOC117183963|XP_033235597.1|DPSE, LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE, LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE, LOC6897227|XP_002137399.2|DPSE, LOC6902907|XP_033236216.1|DPSE, LOC6898538|XP_033233460.1|DPSE	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE, LOC4801605|XP_001358672.2|DPSE, LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE, LOC6897761|XP_002137866.2|DPSE, LOC6897749|XP_033232309.1|DPSE, LOC6899372|XP_033233116.1|DPSE, LOC6896993|XP_033241798.1|DPSE, LOC26533415|XP_033234557.1|DPSE, LOC117183599|XP_033233927.1|DPSE, LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE, LOC6898266|XP_002138332.3|DPSE, LOC6898641|XP_002138646.2|DPSE, LOC6898500|XP_002138541.2|DPSE, LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE, LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000001	LOC117184744|XP_033239458.1|DPSE, LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE	LOC120779369|XP_039967498.1|BTRY, LOC120779724|XP_039968032.1|BTRY, LOC120779568|XP_039967843.1|BTRY
OG0000001	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE, LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE	LOC120780959|XP_039969124.1|BTRY, LOC120781964|XP_039970070.1|BTRY, LOC120779599|XP_039967877.1|BTRY, LOC120767828|XP_039950050.1|BTRY, LOC120780887|XP_039969057.1|BTRY, LOC120781799|XP_039969956.1|BTRY, LOC120781823|XP_039969977.1|BTRY, LOC120780392|XP_039968612.1|BTRY, LOC120781066|XP_039969152.1|BTRY, LOC120779633|XP_039967914.1|BTRY, LOC120770632|XP_039954168.1|BTRY, LOC120781297|XP_039969428.1|BTRY, LOC120770664|XP_039954188.1|BTRY, LOC120780689|XP_039968888.1|BTRY, LOC120780404|XP_039968623.1|BTRY, LOC120780801|XP_039968983.1|BTRY, LOC120780219|XP_039968408.1|BTRY, LOC120766565|XP_039948089.1|BTRY, LOC120781814|XP_039969966.1|BTRY, LOC120780002|XP_039968221.1|BTRY, LOC120773404|XP_039958200.1|BTRY, LOC120769411|XP_039952323.1|BTRY
OG0000001	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC120779693|XP_039967987.1|BTRY
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE	LOC120781940|XP_039970041.1|BTRY
OG0000001	LOC117184038|XP_033235938.1|DPSE	LOC120782119|XP_039970195.1|BTRY
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC120773128|XP_039958058.1|BTRY
OG0000003	LOC4804982|XP_001361456.3|DPSE, LOC4803409|XP_001360156.1|DPSE	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC120770285|XP_039953555.1|BTRY
