Orthogroup	BCOP.longest_only	DSAN.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC120450014|XP_039488671.1|DSAN, LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN, LOC120454013|XP_039494937.1|DSAN, LOC120444836|XP_039480727.1|DSAN, LOC120447883|XP_039485428.1|DSAN, LOC120447886|XP_039485431.1|DSAN, LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN, LOC120444952|XP_039480891.1|DSAN, LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN, LOC120453329|XP_039493924.1|DSAN, LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN, LOC120446300|XP_039483141.1|DSAN, LOC120444898|XP_039480821.1|DSAN, LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN, LOC120458841|XP_039502600.1|DSAN, LOC120447669|XP_039485129.1|DSAN, LOC120454324|XP_039495461.1|DSAN, LOC120453354|XP_039493961.1|DSAN, LOC120453013|XP_039493463.1|DSAN, LOC120444807|XP_039480688.1|DSAN, LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN, LOC120454169|XP_039495171.1|DSAN, LOC120453562|XP_039494248.1|DSAN, LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN, LOC120448603|XP_039486639.1|DSAN
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC120448038|XP_039485719.1|DSAN, LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC120458775|XP_039502488.1|DSAN
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP	LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC120457670|XP_039501096.1|DSAN
OG0000006	LOC119077547|XP_037040651.1|BCOP	LOC120445991|XP_039482657.1|DSAN
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC120450299|XP_039489171.1|DSAN, LOC120449593|XP_039488092.1|DSAN, LOC120449309|XP_039487635.1|DSAN, LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN, LOC120458533|XP_039502144.1|DSAN, LOC120455948|XP_039498425.1|DSAN, LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN, LOC120458508|XP_039502112.1|DSAN, LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN, LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC120451092|XP_039490416.1|DSAN
