Orthogroup	DELE.longest_only	DALB.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE, LOC108150089|XP_017133542.1|DELE, LOC108143736|XP_017123759.1|DELE, LOC108142886|XP_017122451.1|DELE, LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE, LOC108145618|XP_017126643.1|DELE, LOC108141344|XP_017120143.1|DELE, LOC108148604|XP_017131171.1|DELE	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC108135485|XP_017111717.1|DELE, LOC108141030|XP_017119608.1|DELE	LOC117570317|XP_034107750.1|DALB
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC108138226|XP_017115837.1|DELE, LOC108149858|XP_017133226.1|DELE, LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC117571630|XP_034109745.1|DALB
