Orthogroup	DHYD.longest_only	DYAK.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK, LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC6535316|XP_002095972.1|DYAK, LOC6539519|XP_002086405.1|DYAK, LOC6539518|XP_039230304.1|DYAK
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC6526775|XP_002087878.2|DYAK
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC6528128|XP_002089195.3|DYAK
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC120322209|XP_039233200.1|DYAK, LOC120322210|XP_039233201.1|DYAK, LOC120322206|XP_039233197.1|DYAK, LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK, LOC6529211|XP_002090218.1|DYAK, LOC120322207|XP_039233198.1|DYAK, LOC120322199|XP_039233190.1|DYAK, LOC120322204|XP_039233195.1|DYAK, LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK, LOC120322205|XP_039233196.1|DYAK, LOC120321244|XP_039229340.1|DYAK, LOC120322201|XP_039233192.1|DYAK, LOC6539222|XP_002086121.1|DYAK, LOC6540449|XP_002087252.2|DYAK, LOC120322208|XP_039233199.1|DYAK, LOC120322200|XP_039233191.1|DYAK, LOC120321243|XP_039229339.1|DYAK, LOC120322202|XP_039233193.1|DYAK, LOC120322226|XP_039233214.1|DYAK
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC115482868|XP_030078978.1|DHYD	LOC120322198|XP_039233189.1|DYAK
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC115483264|XP_030080469.1|DHYD	LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC115482881|XP_030078991.1|DHYD	LOC120322222|XP_039233212.1|DYAK
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC6537221|XP_002097779.1|DYAK
