Orthogroup	DSUZ.longest_only	HILL.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ, LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ, LOC108013925|XP_016935418.2|DSUZ, LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ, LOC108019563|XP_016942889.1|DSUZ, LOC118877230|XP_036670644.1|DSUZ, LOC108007474|XP_036670349.1|DSUZ, LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ, LOC108008220|XP_016927499.2|DSUZ, LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ, LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ, LOC118878125|XP_036675508.1|DSUZ, LOC108012145|XP_036675462.1|DSUZ, LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ, LOC108016521|XP_036671132.1|DSUZ, LOC108017700|XP_016940298.1|DSUZ, LOC108016425|XP_016938565.2|DSUZ, LOC108020024|XP_036672415.1|DSUZ, LOC108011960|XP_036678587.1|DSUZ, LOC108012138|XP_036675463.1|DSUZ, LOC108012139|XP_036675579.1|DSUZ, LOC108012154|XP_036675464.1|DSUZ, LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ, LOC108011579|XP_036673946.1|DSUZ, LOC108013429|XP_016934786.2|DSUZ, LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ, LOC118878061|XP_036675143.1|DSUZ, LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ, LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	LOC119648870|XP_037906726.1|HILL, LOC119652195|XP_037912066.1|HILL
OG0000001	LOC118877264|XP_036670997.1|DSUZ, LOC118877081|XP_036669875.1|DSUZ	LOC119652094|XP_037911959.1|HILL, LOC119660036|XP_037924343.1|HILL, LOC119658791|XP_037922472.1|HILL, LOC119652107|XP_037911976.1|HILL, LOC119650990|XP_037910185.1|HILL, LOC119657005|XP_037919675.1|HILL, LOC119660089|XP_037924394.1|HILL, LOC119661389|XP_037926645.1|HILL, LOC119652095|XP_037911960.1|HILL, LOC119658865|XP_037922596.1|HILL, LOC119660039|XP_037924346.1|HILL, LOC119660035|XP_037924342.1|HILL, LOC119657006|XP_037919676.1|HILL, LOC119652106|XP_037911975.1|HILL, LOC119653218|XP_037913755.1|HILL, LOC119661742|XP_037927137.1|HILL, LOC119646428|XP_037902804.1|HILL, LOC119659075|XP_037922916.1|HILL, LOC119661593|XP_037926924.1|HILL, LOC119648480|XP_037906171.1|HILL, LOC119648633|XP_037906331.1|HILL, LOC119648461|XP_037906147.1|HILL, LOC119656896|XP_037919504.1|HILL, LOC119661061|XP_037926186.1|HILL, LOC119652097|XP_037911963.1|HILL, LOC119654017|XP_037915107.1|HILL, LOC119651774|XP_037911501.1|HILL
OG0000001	LOC118879778|XP_036678653.1|DSUZ	LOC119647693|XP_037904704.1|HILL
OG0000001	LOC118878459|XP_036677349.1|DSUZ	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000004	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000005	LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC119651767|XP_037911435.1|HILL
