Orthogroup	DMIR.longest_only	DPSE.longest_only
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR	LOC6898781|XP_002138758.2|DPSE
OG0000000	LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR	LOC6898696|XP_002138701.1|DPSE
OG0000000	LOC108158411|XP_017146169.2|DMIR	LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE
OG0000000	LOC108154666|XP_017140492.1|DMIR	LOC117183375|XP_033233001.1|DPSE
OG0000000	LOC108154647|XP_017140467.1|DMIR	LOC6896910|XP_033232943.1|DPSE
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC108156429|XP_017143371.1|DMIR	LOC6896676|XP_033241757.1|DPSE
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR	LOC6896675|XP_033232980.1|DPSE
OG0000000	LOC117187438|XP_033246010.1|DMIR	LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC117187703|XP_033246307.1|DMIR	LOC6898794|XP_033234286.1|DPSE
OG0000000	LOC108158063|XP_017145701.1|DMIR	LOC117183537|XP_033233520.1|DPSE
