Orthogroup	DSUB.longest_only	DELE.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE
OG0000000	LOC117892705|XP_034655010.1|DSUB	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC108142886|XP_017122451.1|DELE
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB	LOC108135485|XP_017111717.1|DELE
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC117900165|XP_034666298.1|DSUB	LOC108138226|XP_017115837.1|DELE
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC108147831|XP_017130074.1|DELE
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC108144468|XP_017124861.1|DELE, LOC108144801|XP_017125415.1|DELE
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC108145367|XP_017126250.1|DELE
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC117900834|XP_034667236.1|DSUB	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC117897982|XP_034662985.1|DSUB	LOC108148444|XP_017130968.1|DELE, LOC108148696|XP_017131333.1|DELE, LOC108148697|XP_017131334.1|DELE, LOC108148759|XP_017131449.1|DELE, LOC108148468|XP_017130989.1|DELE
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC117901609|XP_034668319.1|DSUB	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC117894591|XP_034657631.1|DSUB	LOC108142395|XP_017121724.1|DELE
OG0000007	LOC117894593|XP_034657634.1|DSUB	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC117899151|XP_034664850.1|DSUB	LOC108144089|XP_017124230.1|DELE
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC117896426|XP_034660636.1|DSUB	LOC108135151|XP_017111261.1|DELE
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC108137889|XP_017115317.1|DELE
OG0000011	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB	LOC108139056|XP_017117164.1|DELE, LOC108136397|XP_017112996.1|DELE, LOC108146665|XP_017128206.1|DELE, LOC108139057|XP_017117165.1|DELE, LOC108138672|XP_017116504.1|DELE, LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE, LOC108143859|XP_017123910.1|DELE, LOC108137357|XP_017114480.1|DELE, LOC108134970|XP_017110989.1|DELE, LOC108138785|XP_017116749.1|DELE, LOC108150498|XP_017134198.1|DELE, LOC108150409|XP_017134056.1|DELE, LOC108138422|XP_017116107.1|DELE
OG0000011	LOC117893712|XP_034656290.1|DSUB	LOC108146667|XP_017128209.1|DELE
OG0000011	LOC117894953|XP_034658172.1|DSUB	LOC108146666|XP_017128208.1|DELE
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC108139281|XP_017117466.1|DELE
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC108145523|XP_017126497.1|DELE
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC108145522|XP_017126496.1|DELE
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC108145538|XP_017126526.1|DELE
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC108145542|XP_017126531.1|DELE
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE
OG0000012	LOC117892200|XP_034654187.1|DSUB	LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE
OG0000012	LOC117891062|XP_034652125.1|DSUB	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE
OG0000012	LOC117891063|XP_034652127.1|DSUB	LOC108137877|XP_017115304.1|DELE
OG0000012	LOC117891061|XP_034652124.1|DSUB	LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE
OG0000012	LOC117891058|XP_034652122.1|DSUB	LOC108137950|XP_017115398.1|DELE
OG0000012	LOC117891064|XP_034652128.1|DSUB	LOC108137951|XP_017115399.1|DELE
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC108149749|XP_017133029.1|DELE
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC108135085|XP_017111146.1|DELE
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC108136687|XP_017113497.1|DELE
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000015	LOC117902318|XP_034669497.1|DSUB	LOC108144693|XP_017125256.1|DELE
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC108139227|XP_017117379.1|DELE
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC108145428|XP_017126326.1|DELE
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC108144651|XP_017125185.1|DELE
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC108134657|XP_017110539.1|DELE
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC108140478|XP_017118708.1|DELE
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC108143220|XP_017123005.1|DELE
OG0000017	LOC117892719|XP_034655033.1|DSUB	LOC108136374|XP_017112976.1|DELE
OG0000017	LOC117890423|XP_034651134.1|DSUB	LOC108149934|XP_017133339.1|DELE
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC108134991|XP_017111013.1|DELE
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC108137351|XP_017114475.1|DELE
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC108143462|XP_017123388.1|DELE
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC108141554|XP_017120482.1|DELE
OG0000017	LOC117892462|XP_034654603.1|DSUB	LOC108143281|XP_017123085.1|DELE
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC108147936|XP_017130210.1|DELE, LOC108147886|XP_017130134.1|DELE
