Orthogroup	DSER.longest_only	DALB.longest_only
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER, LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER, LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER, LOC110184021|XP_020808046.1|DSER, LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER, LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER, LOC110186290|XP_020811063.1|DSER, LOC110186288|XP_020811061.1|DSER, LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER, LOC110187976|XP_020813156.1|DSER, LOC110184825|XP_020809128.1|DSER	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC117566658|XP_034102093.1|DALB
OG0000000	LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC110185197|XP_020809581.1|DSER, LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER, LOC110177976|XP_020800628.1|DSER	LOC117570317|XP_034107750.1|DALB
OG0000002	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC110189677|XP_020815494.1|DSER, LOC110189091|XP_020814726.1|DSER	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000005	LOC110182160|XP_020805822.1|DSER	LOC117564295|XP_034098885.1|DALB
OG0000005	LOC110180687|XP_020804031.1|DSER	LOC117566019|XP_034101338.1|DALB
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC117571003|XP_034108844.1|DALB
