Orthogroup	DANA.longest_only	DSEC.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC, LOC6608931|XP_002033645.2|DSEC, LOC6609340|XP_032572102.1|DSEC, LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC6613854|XP_002038323.1|DSEC
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC6605446|XP_002030279.1|DSEC
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC6494605|XP_001960022.3|DANA	LOC6610018|XP_032572286.1|DSEC
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC6609226|XP_032570279.1|DSEC
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC6609223|XP_002033914.2|DSEC
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC116800691|XP_032572969.1|DSEC
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC6608194|XP_002032939.1|DSEC
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC6493532|XP_001957952.1|DANA	LOC6610952|XP_032575303.1|DSEC
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC6613406|XP_032583270.1|DSEC
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA	LOC6612775|XP_032579057.1|DSEC
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC6492986|XP_032310804.1|DANA	LOC6604871|XP_002029716.1|DSEC
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC6604870|XP_002029715.1|DSEC
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC6613405|XP_032574637.1|DSEC
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC6610955|XP_032575304.1|DSEC
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC6503895|XP_001963800.1|DANA	LOC6612353|XP_002036862.1|DSEC
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC116801482|XP_032577264.1|DSEC
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC
OG0000009	LOC6500144|XP_001953137.1|DANA	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC
OG0000009	LOC6500400|XP_001953139.2|DANA	LOC6619042|XP_032576485.1|DSEC
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC6618810|XP_002043059.1|DSEC
OG0000009	LOC6500524|XP_001953390.1|DANA	LOC6606719|XP_002031518.1|DSEC
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC6608841|XP_002033555.1|DSEC
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA	LOC6608840|XP_002033554.1|DSEC
OG0000011	LOC6503983|XP_014760411.1|DANA	LOC6613215|XP_002037694.2|DSEC, LOC6613214|XP_002037693.2|DSEC, LOC6613356|XP_002037830.1|DSEC
OG0000011	LOC6502747|XP_014760371.2|DANA	LOC6616450|XP_032574488.1|DSEC
OG0000011	LOC6506691|XP_001957410.1|DANA	LOC6605626|XP_002030444.2|DSEC
OG0000011	LOC6502839|XP_001957409.2|DANA	LOC6605627|XP_002030445.2|DSEC
OG0000011	LOC6499942|XP_001953585.2|DANA	LOC6607077|XP_002031865.1|DSEC
OG0000012	LOC6495461|XP_014763319.1|DANA	LOC6609925|XP_002034575.2|DSEC
OG0000012	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA	LOC6609924|XP_002034574.2|DSEC
