Orthogroup	DPSE.longest_only	DMEL.longest_only
OG0000000	LOC6898698|XP_015040315.2|DPSE	CG33679|NP_001027273.1|DMEL
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC6898695|XP_002138700.2|DPSE	CG33775|NP_001027410.1|DMEL
OG0000000	LOC117184977|XP_033240205.1|DPSE	CG33687|NP_001027130.2|DMEL
OG0000000	LOC6900000|XP_002135366.3|DPSE	CG33690|NP_001368948.1|DMEL
OG0000000	LOC6899999|XP_033240207.1|DPSE	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC4804691|XP_001361210.2|DPSE	CG12849|NP_611969.2|DMEL
OG0000000	LOC6896672|XP_033232290.1|DPSE	CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	CG33773|NP_001027213.1|DMEL
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	CG33648|NP_001027265.2|DMEL
OG0000000	LOC6897227|XP_002137399.2|DPSE	CG33721|NP_001036743.1|DMEL
OG0000000	LOC6902907|XP_033236216.1|DPSE	CG33928|NP_001027276.1|DMEL
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC4801605|XP_001358672.2|DPSE	CG14518|NP_651653.2|DMEL
OG0000002	LOC6899110|XP_033234698.1|DPSE	CG30281|NP_726164.1|DMEL
OG0000002	LOC6899111|XP_002139028.1|DPSE	CG30280|NP_611641.6|DMEL
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	CG31832|NP_723894.2|DMEL
OG0000002	LOC6900542|XP_033238667.1|DPSE	CG7668|NP_649170.1|DMEL
