Orthogroup	AEAL.longest_only	DSUP.longest_only
OG0000001	LOC115261991|XP_029719785.1|AEAL, LOC109413281|XP_029733375.1|AEAL, LOC115256684|XP_029711456.1|AEAL, LOC109623019|XP_029710293.1|AEAL, LOC115269400|XP_029733938.1|AEAL, LOC109422104|XP_029710301.1|AEAL, LOC115268913|XP_029732984.1|AEAL, LOC115266749|XP_029729152.1|AEAL, LOC115264723|XP_029724605.1|AEAL, LOC115257858|XP_029713675.1|AEAL, LOC115254420|XP_029707769.1|AEAL, LOC109399038|XP_029725309.1|AEAL, LOC115269388|XP_029733924.1|AEAL, LOC109622039|XP_029729050.1|AEAL, LOC115261584|XP_029719346.1|AEAL, LOC109405551|XP_019534182.2|AEAL, LOC115256176|XP_029710296.1|AEAL, LOC109426131|XP_029734345.1|AEAL, LOC115262999|XP_029721807.1|AEAL, LOC115256498|XP_029711026.1|AEAL	LOC119561984|XP_037731306.1|DSUP
OG0000001	LOC115258904|XP_029715227.1|AEAL, LOC115265164|XP_029725288.1|AEAL, LOC115268831|XP_029732866.1|AEAL	LOC119562263|XP_037731367.1|DSUP, LOC119562262|XP_037731366.1|DSUP, LOC119559638|XP_037728615.1|DSUP, LOC119559616|XP_037728581.1|DSUP, LOC119559159|XP_037728155.1|DSUP, LOC119561856|XP_037731264.1|DSUP, LOC119562326|XP_037731412.1|DSUP, LOC119562410|XP_037731533.1|DSUP, LOC119559150|XP_037728149.1|DSUP, LOC119562357|XP_037731447.1|DSUP
OG0000004	LOC109413299|XP_019542561.2|AEAL, LOC115270066|XP_029734897.1|AEAL, LOC109407180|XP_019535709.1|AEAL, LOC109397477|XP_029709004.1|AEAL, LOC115255221|XP_029709025.1|AEAL, LOC115270070|XP_029734902.1|AEAL, LOC109397473|XP_029708972.1|AEAL, LOC115255201|XP_029709003.1|AEAL, LOC109397491|XP_029709023.1|AEAL, LOC109397475|XP_019525313.1|AEAL, LOC115255206|XP_029709009.1|AEAL, LOC115266976|XP_029729559.1|AEAL, LOC115270056|XP_029734885.1|AEAL, LOC115270082|XP_029734908.1|AEAL, LOC109407175|XP_019535705.2|AEAL, LOC109413175|XP_029734887.1|AEAL, LOC115270083|XP_029734909.1|AEAL, LOC109404569|XP_019533012.1|AEAL, LOC109404523|XP_019532967.1|AEAL, LOC115270053|XP_029734878.1|AEAL, LOC115270063|XP_029734895.1|AEAL, LOC109404546|XP_019931555.2|AEAL, LOC115266975|XP_029729558.1|AEAL, LOC109413197|XP_019542447.1|AEAL, LOC115270059|XP_029734890.1|AEAL, LOC115255472|XP_029709456.1|AEAL	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP
OG0000006	LOC109431199|XP_019562958.1|AEAL	LOC119546623|XP_037708988.1|DSUP
OG0000006	LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL	LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC109621651|XP_019931301.1|AEAL	LOC119547942|XP_037710917.1|DSUP
OG0000006	LOC109431219|XP_019562976.1|AEAL	LOC119559187|XP_037728176.1|DSUP
OG0000006	LOC115270060|XP_029734892.1|AEAL	LOC119548247|XP_037711316.1|DSUP
OG0000006	LOC109431220|XP_019562977.1|AEAL, LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC119555653|XP_037723160.1|DSUP, LOC119554492|XP_037721353.1|DSUP, LOC119554489|XP_037721348.1|DSUP, LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP, LOC119546692|XP_037709098.1|DSUP, LOC119550735|XP_037715578.1|DSUP, LOC119546637|XP_037709013.1|DSUP, LOC119546891|XP_037709439.1|DSUP, LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP, LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC109409014|XP_019537968.1|AEAL	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC119546547|XP_037708827.1|DSUP
