Orthogroup	DMEL.longest_only	DNOV.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC115769480|XP_030570157.1|DNOV
OG0000000	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL	LOC115758064|XP_030554438.1|DNOV
OG0000000	CG33775|NP_001027410.1|DMEL	LOC115760506|XP_030557727.1|DNOV
OG0000000	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL	LOC115762880|XP_030561115.1|DNOV
OG0000000	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	CG33927|NP_001027147.1|DMEL, CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL	LOC115762365|XP_030560399.1|DNOV
OG0000002	CG5550|NP_001246376.1|DMEL	LOC115758620|XP_030555217.1|DNOV
OG0000002	CG30281|NP_726164.1|DMEL	LOC115759079|XP_030555811.1|DNOV
OG0000002	CG30280|NP_611641.6|DMEL	LOC115762794|XP_030561011.1|DNOV
OG0000002	CG9500|NP_609018.3|DMEL	LOC115759342|XP_030556121.1|DNOV
OG0000003	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL	LOC115771231|XP_030572696.1|DNOV
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC115762286|XP_030560313.1|DNOV
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC115758743|XP_030555359.1|DNOV
OG0000005	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL	LOC115761952|XP_030559851.1|DNOV
OG0000006	His2A_CG33850|NP_001027361.1|DMEL	LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC115770611|XP_030571807.1|DNOV
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC115767673|XP_030567825.1|DNOV
OG0000007	yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	Jon44E|NP_724699.1|DMEL	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC115767684|XP_030567836.1|DNOV
OG0000007	Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC115759663|XP_030556519.1|DNOV
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC115762862|XP_030561098.1|DNOV
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC115762903|XP_030561140.1|DNOV
OG0000008	Crys|NP_476906.1|DMEL	LOC115759949|XP_030556951.1|DNOV
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC115762865|XP_030561099.1|DNOV
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC115765613|XP_030565123.1|DNOV
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC115765587|XP_030565097.1|DNOV
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC115765588|XP_030565098.1|DNOV
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC115765592|XP_030565101.1|DNOV
OG0000009	CG11453|NP_650832.1|DMEL	LOC115763759|XP_030562333.1|DNOV
OG0000009	CG11391|NP_650830.1|DMEL	LOC115763738|XP_030562299.1|DNOV
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL	LOC115765543|XP_030565028.1|DNOV
OG0000009	CG4563|NP_611913.1|DMEL	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	CG8834|NP_610779.1|DMEL	LOC115760928|XP_030558363.1|DNOV
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC115770894|XP_030572189.1|DNOV
OG0000010	His4_CG33885|NP_001027342.1|DMEL	LOC115761953|XP_030559852.1|DNOV
OG0000010	His4_CG33891|NP_001027327.1|DMEL	LOC115770585|XP_030571770.1|DNOV
OG0000010	His4_CG33883|NP_001027347.1|DMEL	LOC115770584|XP_030571769.1|DNOV
OG0000011	CG17359|NP_648679.1|DMEL	LOC115769277|XP_030569859.1|DNOV
OG0000011	CG8319|NP_649920.2|DMEL	LOC115765906|XP_030565511.1|DNOV
OG0000012	CG9416|NP_611415.2|DMEL	LOC115760603|XP_030557904.1|DNOV
OG0000012	CG10051|NP_611414.1|DMEL	LOC115760694|XP_030558018.1|DNOV
OG0000012	CG11961|NP_725876.1|DMEL	LOC115760695|XP_030558019.1|DNOV
OG0000012	CG10062|NP_001261089.1|DMEL	LOC115760604|XP_030557906.1|DNOV
OG0000012	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV
OG0000012	CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL	LOC115760685|XP_030558012.1|DNOV
OG0000012	CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC115761057|XP_030558532.1|DNOV
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC115761021|XP_030558495.1|DNOV
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC115766810|XP_030566705.1|DNOV
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC115766188|XP_030565895.1|DNOV
OG0000013	Hsc70-2|NP_524339.1|DMEL	LOC115761668|XP_030559377.1|DNOV
OG0000013	Hsp68|NP_524474.1|DMEL	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV
OG0000013	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV
OG0000015	lectin-37Db|NP_001188847.1|DMEL	LOC115763530|XP_030562001.1|DNOV
OG0000016	Act87E|NP_477091.1|DMEL	LOC115761678|XP_030559394.1|DNOV
OG0000016	Act57B|NP_523800.1|DMEL	LOC115762276|XP_030560298.1|DNOV
OG0000016	Arp1|NP_524331.2|DMEL	LOC115761707|XP_030559439.1|DNOV
OG0000016	Arp53D|NP_477037.2|DMEL	LOC115764479|XP_030563416.1|DNOV
OG0000016	Act5C|NP_511052.1|DMEL	LOC115768679|XP_030569221.1|DNOV
OG0000016	Act42A|NP_523625.1|DMEL	LOC115762287|XP_030560311.1|DNOV
OG0000016	Act88F|NP_524367.1|DMEL	LOC115757701|XP_030553908.1|DNOV
OG0000016	Act79B|NP_524210.1|DMEL	LOC115770022|XP_030570941.1|DNOV
OG0000017	Or42a|NP_523622.2|DMEL	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV
OG0000017	Or98a|NP_524536.2|DMEL	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV
OG0000017	Or59b|NP_523822.1|DMEL	LOC115760654|XP_030557981.1|DNOV
OG0000017	Or42b|NP_523624.2|DMEL	LOC115762485|XP_030560583.1|DNOV
