Orthogroup	DSUP.longest_only	ASTE.longest_only
OG0000004	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE, LOC118508233|XP_035903731.1|ASTE, LOC118508227|XP_035903726.1|ASTE, LOC118508232|XP_035903730.1|ASTE, LOC118508230|XP_035903728.1|ASTE, LOC118508231|XP_035903729.1|ASTE, LOC118508228|XP_035903727.1|ASTE
OG0000006	LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC119547943|XP_037710919.1|DSUP	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC119560146|XP_037729428.1|DSUP, LOC119560480|XP_037729870.1|DSUP, LOC119545681|XP_037707348.1|DSUP, LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP, LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC118509785|XP_035906820.1|ASTE
OG0000012	LOC119550822|XP_037715693.1|DSUP, LOC119550821|XP_037715691.1|DSUP, LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP, LOC119551494|XP_037716788.1|DSUP, LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC119549437|XP_037713458.1|DSUP	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC119558255|XP_037727511.1|DSUP	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC119563541|XP_037732953.1|DSUP	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
