Orthogroup	DFIC.longest_only	DMEL.longest_only
OG0000000	LOC108101733|XP_017061674.1|DFIC	CG33679|NP_001027273.1|DMEL
OG0000000	LOC108098759|XP_017057380.1|DFIC	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC108089295|XP_017042962.1|DFIC	CG33687|NP_001027130.2|DMEL
OG0000000	LOC108089296|XP_017042963.1|DFIC	CG33688|NP_001027131.1|DMEL
OG0000000	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	CG33689|NP_001027132.2|DMEL
OG0000000	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC	CG33723|NP_001027235.1|DMEL, CG33658|NP_001027209.1|DMEL
OG0000000	LOC108100131|XP_017059373.1|DFIC	CG33798|NP_001027414.1|DMEL
OG0000000	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC	CG33463|NP_995846.2|DMEL
OG0000000	LOC108086787|XP_017039316.1|DFIC	CG33483|NP_001189327.1|DMEL
OG0000000	LOC108099241|XP_017058101.1|DFIC	CG33721|NP_001036743.1|DMEL
OG0000000	LOC108090590|XP_017044830.1|DFIC	CG33928|NP_001027276.1|DMEL
OG0000000	LOC108095110|XP_017051537.1|DFIC	CG33453|NP_995888.1|DMEL
OG0000000	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC108097696|XP_017055657.1|DFIC	CG14518|NP_651653.2|DMEL
OG0000000	LOC108089293|XP_017042959.1|DFIC	CG33796|NP_001027128.1|DMEL
OG0000000	LOC108089294|XP_017042961.1|DFIC	CG33795|NP_001027129.2|DMEL
OG0000002	LOC108090526|XP_017044733.1|DFIC	CG5550|NP_001246376.1|DMEL
OG0000002	LOC108090768|XP_017045096.1|DFIC	CG30281|NP_726164.1|DMEL
OG0000002	LOC108090769|XP_017045098.1|DFIC	CG30280|NP_611641.6|DMEL
OG0000003	LOC108087667|XP_017040650.1|DFIC	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC108087705|XP_017040710.1|DFIC	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC108094289|XP_017050276.1|DFIC	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC108087668|XP_017040651.1|DFIC	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC108099209|XP_017058075.1|DFIC	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC108087605|XP_017040533.1|DFIC	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC108090320|XP_017044421.1|DFIC	Cyp6a13|NP_610390.1|DMEL
