Orthogroup	DEUG.longest_only	ASTE.longest_only
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC118517636|XP_035919841.1|ASTE
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC108117308|XP_017085159.1|DEUG, LOC108117290|XP_017085135.1|DEUG, LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG, LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG, LOC108107216|XP_017070122.1|DEUG, LOC108111728|XP_017076770.1|DEUG, LOC108106283|XP_017068739.1|DEUG, LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC118503730|XP_035893236.1|ASTE
OG0000012	LOC108113192|XP_017079208.1|DEUG, LOC108113191|XP_017079207.1|DEUG, LOC108113343|XP_017079393.1|DEUG, LOC108113377|XP_017079435.1|DEUG, LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG, LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG, LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
