Orthogroup	ASTE.longest_only	DANA.longest_only
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC6506066|XP_032309425.1|DANA
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC6506512|XP_001957740.2|DANA
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC6500401|XP_001953140.1|DANA, LOC6500399|XP_001953138.1|DANA, LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA, LOC6506633|XP_001957500.1|DANA, LOC6494113|XP_001960938.1|DANA, LOC6500524|XP_001953390.1|DANA, LOC6494922|XP_001959416.1|DANA, LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC6500231|XP_001952977.1|DANA
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC6495461|XP_014763319.1|DANA, LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA, LOC6495181|XP_001958900.1|DANA, LOC6495184|XP_001958896.1|DANA, LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA, LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA, LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC6500746|XP_001953834.1|DANA, LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC118515274|XP_035917861.1|ASTE, LOC118515180|XP_035917776.1|ASTE, LOC118507634|XP_035902251.1|ASTE, LOC118507967|XP_035903190.1|ASTE, LOC118507435|XP_035901806.1|ASTE, LOC118509114|XP_035905178.1|ASTE, LOC118516606|XP_035918467.1|ASTE, LOC118515167|XP_035917765.1|ASTE, LOC118515195|XP_035917787.1|ASTE, LOC118516437|XP_035918212.1|ASTE	LOC116655469|XP_032309335.1|DANA, LOC116655425|XP_032309209.1|DANA, LOC116656371|XP_032311725.1|DANA, LOC116655243|XP_032308680.1|DANA
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC6500386|XP_001953106.1|DANA, LOC6495063|XP_001959144.1|DANA
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC6493807|XP_014764542.1|DANA
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC6493787|XP_001958436.1|DANA
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC6505609|XP_001964601.1|DANA, LOC6505610|XP_001964600.1|DANA, LOC6505613|XP_032305481.1|DANA, LOC6505612|XP_001964599.1|DANA, LOC6505608|XP_001964602.1|DANA
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC6499398|XP_032312200.1|DANA, LOC6494967|XP_001959313.1|DANA
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA, LOC6500139|XP_032312147.1|DANA, LOC6501153|XP_001954651.1|DANA, LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC6503446|XP_001967498.1|DANA, LOC6499833|XP_001953817.3|DANA, LOC6503731|XP_032308490.1|DANA
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC6495509|XP_001959002.1|DANA, LOC6492952|XP_001956727.1|DANA, LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA, LOC6507069|XP_001956716.1|DANA, LOC6492946|XP_001956717.1|DANA
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC6500082|XP_001953260.1|DANA, LOC6500077|XP_001953265.1|DANA, LOC6500461|XP_001953266.1|DANA, LOC6494760|XP_001959725.1|DANA, LOC6500076|XP_001953267.1|DANA, LOC6500083|XP_001953259.2|DANA, LOC6500087|XP_001953255.2|DANA, LOC6500085|XP_032312233.1|DANA, LOC6500088|XP_014766376.1|DANA
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA, LOC6495252|XP_001958753.1|DANA, LOC6498256|XP_001962412.1|DANA, LOC6495254|XP_001958751.1|DANA, LOC6496529|XP_001961079.1|DANA
OG0000025	LOC118514136|XP_035916629.1|ASTE	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC118509777|XP_035906810.1|ASTE	LOC26513707|XP_032309216.1|DANA
