Orthogroup	DMAU.longest_only	DSIM.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU	LOC27207327|XP_016031215.1|DSIM
OG0000000	LOC117141546|XP_033160941.1|DMAU	LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC117138434|XP_033156436.1|DMAU	LOC6734181|XP_016027194.1|DSIM
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC117145817|XP_033167509.1|DMAU	LOC6728685|XP_002104021.1|DSIM
OG0000000	LOC117145797|XP_033167474.1|DMAU	LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC117144786|XP_033166045.1|DMAU	LOC6728763|XP_002104098.1|DSIM
OG0000000	LOC117142325|XP_033162128.1|DMAU	LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC6731633|XP_002078773.1|DSIM
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC6729478|XP_002104788.3|DSIM
OG0000000	LOC117137412|XP_033154732.1|DMAU	LOC6734251|XP_039147854.1|DSIM
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC117140233|XP_033158923.1|DMAU	LOC27209298|XP_016030381.1|DSIM
OG0000000	LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU	LOC6738897|XP_002085692.1|DSIM
OG0000000	LOC117136161|XP_033152774.1|DMAU	LOC6734178|XP_002081207.1|DSIM
OG0000000	LOC117150663|XP_033173544.1|DMAU	LOC6730565|XP_016023011.1|DSIM
OG0000000	LOC117139179|XP_033157239.1|DMAU	LOC6736799|XP_039149212.1|DSIM
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC6730282|XP_002105565.2|DSIM
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU	LOC6735227|XP_002082200.1|DSIM
OG0000000	LOC117138584|XP_033156654.1|DMAU	LOC6735228|XP_002082201.1|DSIM
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC6736069|XP_002082970.1|DSIM
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC117140539|XP_033159419.1|DMAU	LOC6738252|XP_002085064.1|DSIM
OG0000000	LOC117140538|XP_033159418.1|DMAU	LOC6738253|XP_039150090.1|DSIM
OG0000001	LOC117140024|XP_033158645.1|DMAU	LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM
OG0000001	LOC117139899|XP_033158470.1|DMAU	LOC120285672|XP_039154228.1|DSIM, LOC120284833|XP_039150170.1|DSIM, LOC120284434|XP_039148214.1|DSIM
OG0000001	LOC117141920|XP_033161540.1|DMAU	LOC120285442|XP_039154112.1|DSIM, LOC120285440|XP_039154108.1|DSIM
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC117136987|XP_033154052.1|DMAU	LOC6735327|XP_016028674.2|DSIM
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC117136850|XP_033153839.1|DMAU	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC117137895|XP_033155524.1|DMAU	LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC117145313|XP_033166799.1|DMAU	LOC6729847|XP_016036585.1|DSIM
OG0000003	LOC117137897|XP_033155527.1|DMAU	LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC117136849|XP_033153838.1|DMAU	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC117138513|XP_033156538.1|DMAU	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC117137674|XP_033155124.1|DMAU	LOC6734559|XP_002081568.1|DSIM
