Orthogroup	BCOP.longest_only	DVIR.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC6636425|XP_032292006.1|DVIR, LOC6623450|XP_002047287.1|DVIR, LOC6627198|XP_032293006.1|DVIR, LOC6625157|XP_032292502.1|DVIR, LOC6626786|XP_002048872.2|DVIR, LOC26530367|XP_015026243.1|DVIR, LOC26531872|XP_032295213.1|DVIR, LOC6625560|XP_032292064.1|DVIR, LOC6625461|XP_032292063.1|DVIR, LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR, LOC6630220|XP_002054794.2|DVIR, LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC119073001|XP_037034220.1|BCOP, LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP	LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC26531429|XP_015025398.1|DVIR, LOC116649881|XP_032289027.1|DVIR, LOC6634067|XP_002057869.2|DVIR
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC6626597|XP_002049033.2|DVIR, LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC6627946|XP_002051419.1|DVIR
OG0000004	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000006	LOC119082428|XP_037047851.1|BCOP	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC119075400|XP_037037739.1|BCOP	LOC6630084|XP_002053094.1|DVIR
OG0000006	LOC119077559|XP_037040665.1|BCOP	LOC6630840|XP_032288832.1|DVIR
OG0000006	LOC119077553|XP_037040658.1|BCOP	LOC6637084|XP_002060495.1|DVIR
