Orthogroup	DMIR.longest_only	DNOV.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR, LOC108154608|XP_017140414.2|DMIR	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000001	LOC117189970|XP_033250943.1|DMIR, LOC117191669|XP_033252365.1|DMIR, LOC117193543|XP_033254178.1|DMIR	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC115758743|XP_030555359.1|DNOV
