Orthogroup	BTRY.longest_only	DFIC.longest_only
OG0000000	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC, LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY	LOC108089295|XP_017042962.1|DFIC, LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC, LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC, LOC108098764|XP_017057385.1|DFIC, LOC108086784|XP_017039313.1|DFIC, LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC, LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC, LOC108100131|XP_017059373.1|DFIC, LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC, LOC108086787|XP_017039316.1|DFIC, LOC108087064|XP_017039728.1|DFIC, LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC, LOC108099241|XP_017058101.1|DFIC, LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC, LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC, LOC108091368|XP_017046009.1|DFIC, LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC
OG0000001	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY, LOC120774624|XP_039960282.1|BTRY, LOC120779341|XP_039967474.1|BTRY	LOC108094352|XP_017050381.1|DFIC
OG0000001	LOC120781940|XP_039970041.1|BTRY	LOC108098394|XP_017056755.1|DFIC
OG0000002	LOC120782778|XP_039971179.1|BTRY, LOC120769717|XP_039952790.1|BTRY, LOC120768237|XP_039950758.1|BTRY, LOC120768236|XP_039950755.1|BTRY, LOC120768238|XP_039950759.1|BTRY, LOC120767285|XP_039949095.1|BTRY, LOC120769451|XP_039952389.1|BTRY, LOC120770146|XP_039953270.1|BTRY, LOC120781360|XP_039969505.1|BTRY, LOC120781361|XP_039969506.1|BTRY, LOC120776016|XP_039962395.1|BTRY, LOC120766551|XP_039948068.1|BTRY	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC120773128|XP_039958058.1|BTRY	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC120773129|XP_039958059.1|BTRY, LOC120773130|XP_039958060.1|BTRY, LOC120770807|XP_039954320.1|BTRY, LOC120771341|XP_039955220.1|BTRY	LOC108087705|XP_017040710.1|DFIC, LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC108090320|XP_017044421.1|DFIC
