Orthogroup	DEUG.longest_only	DANA.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC108104209|XP_017065641.1|DEUG	LOC26515012|XP_032305331.1|DANA
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG, LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG, LOC108112677|XP_017078310.1|DEUG, LOC108108192|XP_017071633.1|DEUG	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC6498897|XP_032305704.1|DANA
OG0000000	LOC108108505|XP_017072063.1|DEUG, LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC6494276|XP_032306810.1|DANA
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC108108874|XP_017072580.1|DEUG	LOC6494605|XP_001960022.3|DANA
OG0000002	LOC108114765|XP_017081366.1|DEUG	LOC6502757|XP_014760373.1|DANA, LOC6505775|XP_001965022.2|DANA
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC6495486|XP_001958950.1|DANA
OG0000003	LOC108106709|XP_017069429.1|DEUG	LOC6495485|XP_001958948.1|DANA
OG0000003	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC6495154|XP_001958949.2|DANA
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC6495430|XP_001958829.1|DANA
OG0000003	LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC6495216|XP_001958826.1|DANA
OG0000005	LOC108103412|XP_017064359.1|DEUG	LOC6501749|XP_001967750.2|DANA
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC116655985|XP_032310869.1|DANA, LOC6498689|XP_001967680.1|DANA, LOC6498692|XP_001967675.1|DANA, LOC116655429|XP_032309218.1|DANA, LOC116656005|XP_032310965.1|DANA, LOC6504886|XP_001964818.1|DANA, LOC6504919|XP_001964813.1|DANA, LOC26515522|XP_032311285.1|DANA
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC6504215|XP_001965139.1|DANA
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC6507027|XP_001956797.1|DANA
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC6493536|XP_001957956.2|DANA
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC6506391|XP_001957958.1|DANA
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC6504295|XP_001965067.1|DANA
