Orthogroup	DANA.longest_only	DSER.longest_only
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC110185197|XP_020809581.1|DSER, LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC6502541|XP_001958679.1|DANA	LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA	LOC110179248|XP_020802366.1|DSER
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC110184909|XP_020809214.1|DSER
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC6495216|XP_001958826.1|DANA	LOC110176203|XP_020798127.1|DSER
OG0000005	LOC6506069|XP_001967796.1|DANA	LOC110182143|XP_020805813.1|DSER, LOC110180686|XP_020804030.1|DSER, LOC110182160|XP_020805822.1|DSER
OG0000005	LOC6505228|XP_032310874.1|DANA	LOC110182156|XP_020805819.1|DSER
OG0000005	LOC116655988|XP_032310873.1|DANA	LOC110182425|XP_020806120.1|DSER
OG0000005	LOC116655989|XP_032310875.1|DANA	LOC110182159|XP_020805821.1|DSER
OG0000005	LOC116655430|XP_032309219.1|DANA	LOC110182412|XP_020806108.1|DSER
OG0000005	LOC6501749|XP_001967750.2|DANA	LOC110182167|XP_020805828.1|DSER
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER
OG0000006	LOC116655706|XP_032309462.1|DANA	LOC110182418|XP_020806113.1|DSER
OG0000006	LOC6506066|XP_032309425.1|DANA	LOC110181334|XP_020804711.1|DSER
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC6493531|XP_001957951.1|DANA	LOC110184729|XP_020809016.1|DSER
OG0000007	LOC6504215|XP_001965139.1|DANA	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC6505974|XP_001964709.1|DANA, LOC6505555|XP_001964708.1|DANA, LOC6505976|XP_032305603.1|DANA, LOC6505975|XP_001964710.1|DANA, LOC116654519|XP_032305561.1|DANA	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC6507027|XP_001956797.1|DANA	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC6493536|XP_001957956.2|DANA	LOC110184731|XP_020809018.1|DSER
OG0000007	LOC6506391|XP_001957958.1|DANA	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC6503895|XP_001963800.1|DANA	LOC110182844|XP_020806635.1|DSER
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC6500144|XP_001953137.1|DANA	LOC110188741|XP_020814234.1|DSER
OG0000009	LOC6500400|XP_001953139.2|DANA	LOC110188740|XP_020814233.1|DSER
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC6500524|XP_001953390.1|DANA	LOC110176644|XP_020798730.1|DSER
