Orthogroup	DANA.longest_only	DSIM.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC6496234|XP_001960509.1|DANA	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC6503296|XP_001967564.2|DANA	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA	LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM, LOC6734251|XP_039147854.1|DSIM, LOC6734670|XP_039148016.1|DSIM, LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM
OG0000000	LOC26514259|XP_032305722.1|DANA	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC6500855|XP_032305607.1|DANA	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC6497917|XP_001961708.2|DANA	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC6494112|XP_001960945.2|DANA	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC6502509|XP_001960943.2|DANA	LOC6736070|XP_039148852.1|DSIM
OG0000000	LOC6499064|XP_032305682.1|DANA	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA	LOC6737828|XP_002084656.1|DSIM
OG0000002	LOC6494276|XP_032306810.1|DANA	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC6494605|XP_001960022.3|DANA	LOC6735327|XP_016028674.2|DSIM
OG0000003	LOC6495486|XP_001958950.1|DANA	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC6495485|XP_001958948.1|DANA	LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC6495484|XP_001958947.1|DANA	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC6496624|XP_001961285.3|DANA	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC6495154|XP_001958949.2|DANA	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC6495150|XP_014763173.1|DANA	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC6495430|XP_001958829.1|DANA	LOC6733555|XP_039148197.1|DSIM
OG0000006	LOC6498692|XP_001967675.1|DANA	LOC120285260|XP_039152620.1|DSIM
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC6506066|XP_032309425.1|DANA	LOC27208095|XP_016025859.1|DSIM
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC6493532|XP_001957952.1|DANA	LOC6736953|XP_002083800.1|DSIM
OG0000007	LOC6493531|XP_001957951.1|DANA	LOC6736951|XP_016030595.1|DSIM
