Orthogroup	AALB.longest_only	BTRY.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	LOC120779693|XP_039967987.1|BTRY
OG0000001	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB	LOC120779562|XP_039967839.1|BTRY, LOC120777820|XP_039965292.1|BTRY, LOC120774624|XP_039960282.1|BTRY, LOC120779341|XP_039967474.1|BTRY, LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC120767503|XP_039949530.1|BTRY, LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY, LOC120767507|XP_039949534.1|BTRY
OG0000006	LOC118467848|XP_035794647.1|AALB	LOC120767512|XP_039949539.1|BTRY
OG0000006	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC120781340|XP_039969478.1|BTRY
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC120782797|XP_039971208.1|BTRY
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC120778932|XP_039966913.1|BTRY
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC120778930|XP_039966911.1|BTRY
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC120778933|XP_039966914.1|BTRY
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY
OG0000010	LOC118465131|XP_035788963.1|AALB, LOC118464057|XP_035786996.1|AALB, LOC118464063|XP_035787003.1|AALB, LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB, LOC118467569|XP_035794089.1|AALB	LOC120766432|XP_039947870.1|BTRY
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC120767531|XP_039949557.1|BTRY
OG0000010	LOC118464056|XP_035786995.1|AALB, LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB, LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB	LOC120767528|XP_039949554.1|BTRY
OG0000011	LOC118459877|XP_035779560.1|AALB	LOC120773419|XP_039958227.1|BTRY
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC120772295|XP_039956737.1|BTRY, LOC120771372|XP_039955267.1|BTRY, LOC120772056|XP_039956371.1|BTRY, LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY, LOC120772529|XP_039957131.1|BTRY
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC120770990|XP_039954671.1|BTRY
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC120776120|XP_039962578.1|BTRY
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC120769789|XP_039952912.1|BTRY
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC120778592|XP_039966397.1|BTRY
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY, LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY
OG0000014	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY, LOC120767802|XP_039950005.1|BTRY, LOC120780812|XP_039968993.1|BTRY
OG0000014	LOC118456469|XP_035773157.1|AALB, LOC118462714|XP_035784546.1|AALB, LOC118456863|XP_035773863.1|AALB, LOC118463648|XP_035786284.1|AALB, LOC118468421|XP_035795077.1|AALB, LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB, LOC118458427|XP_035776775.1|AALB, LOC118468815|XP_035795925.1|AALB	LOC120779372|XP_039967501.1|BTRY
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC120774116|XP_039959415.1|BTRY
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC120773675|XP_039958634.1|BTRY
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC120774911|XP_039960716.1|BTRY, LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY, LOC120768574|XP_039951256.1|BTRY, LOC120769643|XP_039952681.1|BTRY, LOC120767064|XP_039948853.1|BTRY
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC120772465|XP_039957032.1|BTRY
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC120782274|XP_039970399.1|BTRY, LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC120776121|XP_039962581.1|BTRY
