Orthogroup	AAEG.longest_only	DSAN.longest_only
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC120443706|XP_039478879.1|DSAN
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC110679778|XP_021711201.1|AAEG	LOC120457932|XP_039501372.1|DSAN
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC120457670|XP_039501096.1|DSAN
OG0000006	LOC110679787|XP_021711211.1|AAEG	LOC120457674|XP_039501100.1|DSAN
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC120450299|XP_039489171.1|DSAN, LOC120449593|XP_039488092.1|DSAN, LOC120449309|XP_039487635.1|DSAN, LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN, LOC120458533|XP_039502144.1|DSAN, LOC120455948|XP_039498425.1|DSAN, LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN, LOC120458508|XP_039502112.1|DSAN, LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN, LOC120449828|XP_039488411.1|DSAN, LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC120449658|XP_039488188.1|DSAN
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC120452846|XP_039493217.1|DSAN, LOC120453968|XP_039494853.1|DSAN, LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN, LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN, LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG	LOC120446204|XP_039482989.1|DSAN
OG0000010	LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG	LOC120457684|XP_039501107.1|DSAN
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC120445821|XP_039482372.1|DSAN, LOC120445820|XP_039482371.1|DSAN, LOC120446192|XP_039482973.1|DSAN, LOC120446256|XP_039483062.1|DSAN, LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC120444466|XP_039480072.1|DSAN
