Orthogroup	DPSE.longest_only	AALB.longest_only
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC118468339|XP_035794991.1|AALB
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC118458183|XP_035776304.1|AALB
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC118464039|XP_035786989.1|AALB, LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC118459424|XP_035778662.1|AALB
OG0000009	LOC6897995|XP_002138092.2|DPSE, LOC4803283|XP_001360048.3|DPSE, LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE, LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE, LOC4805603|XP_001361980.2|DPSE, LOC4802604|XP_001359493.2|DPSE, LOC4804281|XP_001360862.1|DPSE, LOC6898444|XP_002138487.3|DPSE	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC117183603|XP_033233990.1|DPSE	LOC118464061|XP_035787001.1|AALB
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC118464059|XP_035786999.1|AALB
OG0000010	LOC26532710|XP_015035140.1|DPSE	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC4804261|XP_015039777.2|DPSE, LOC4804255|XP_001360842.2|DPSE, LOC4804254|XP_015039772.2|DPSE, LOC6898436|XP_033233736.1|DPSE, LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE, LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE, LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC6900589|XP_002134962.1|DPSE	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE, LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC117184937|XP_033240069.1|DPSE, LOC117184691|XP_033239208.1|DPSE	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000016	LOC4801993|XP_001359004.1|DPSE, LOC6898475|XP_002138517.1|DPSE	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE, LOC4801129|XP_033235715.1|DPSE, LOC4801131|XP_001358273.2|DPSE, LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC6896759|XP_002136966.1|DPSE, LOC4803770|XP_001360432.3|DPSE	LOC118461362|XP_035782490.1|AALB
