Orthogroup	DGUA.longest_only	DKIK.longest_only
OG0000000	LOC117592188|XP_034141680.1|DGUA	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC117583189|XP_034127284.1|DGUA	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC117583148|XP_034127229.1|DGUA	LOC108085530|XP_017037652.1|DKIK
OG0000000	LOC117588815|XP_034136215.1|DGUA	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC117589025|XP_034136545.1|DGUA	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC117592532|XP_034142283.1|DGUA	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC117583198|XP_034127292.1|DGUA	LOC108085312|XP_017037357.1|DKIK
OG0000000	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC117583318|XP_034127468.1|DGUA	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC117582218|XP_034125717.1|DGUA	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC117592522|XP_034142264.1|DGUA	LOC108086044|XP_017038352.1|DKIK
OG0000000	LOC117592359|XP_034141946.1|DGUA	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC117589701|XP_034137755.1|DGUA	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC117592344|XP_034141927.1|DGUA	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK
OG0000002	LOC117579099|XP_034120716.1|DGUA	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC117579108|XP_034120728.1|DGUA	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC117578777|XP_034120374.1|DGUA	LOC108078189|XP_017027346.1|DKIK
OG0000002	LOC117587542|XP_034134239.1|DGUA	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC117584002|XP_034128622.1|DGUA	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC117592331|XP_034141917.1|DGUA	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC117592350|XP_034141940.1|DGUA	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK
OG0000003	LOC117578447|XP_034119862.1|DGUA	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC117583299|XP_034127435.1|DGUA	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC117592340|XP_034141928.1|DGUA	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC117583309|XP_034127448.1|DGUA	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC117583990|XP_034128606.1|DGUA	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC117583987|XP_034128590.1|DGUA	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC117587981|XP_034134880.1|DGUA	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC117591774|XP_034140974.1|DGUA	LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK
OG0000004	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA	LOC108073963|XP_017021295.1|DKIK
OG0000005	LOC117591669|XP_034140883.1|DGUA	LOC108071511|XP_017017769.1|DKIK
OG0000005	LOC117581361|XP_034124384.1|DGUA	LOC108085749|XP_017037978.1|DKIK
OG0000005	LOC117591790|XP_034140985.1|DGUA	LOC108071382|XP_017017614.1|DKIK, LOC108085758|XP_017037990.1|DKIK
OG0000006	LOC117591689|XP_034140903.1|DGUA, LOC117591770|XP_034140972.1|DGUA, LOC117591658|XP_034140872.1|DGUA, LOC117591672|XP_034140886.1|DGUA	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC117591645|XP_034140861.1|DGUA	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC117587428|XP_034133991.1|DGUA	LOC108071584|XP_017017854.1|DKIK
OG0000007	LOC117584024|XP_034128652.1|DGUA	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC117592308|XP_034141873.1|DGUA	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC117584026|XP_034128654.1|DGUA	LOC108086266|XP_017038642.1|DKIK
