Orthogroup	DSAN.longest_only	DSEC.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC120444734|XP_039480595.1|DSAN	LOC116800509|XP_032571804.1|DSEC
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC6606995|XP_002031784.1|DSEC
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC120447820|XP_039485331.1|DSAN	LOC116800964|XP_032573791.1|DSEC
OG0000000	LOC120447882|XP_039485427.1|DSAN	LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC120453403|XP_039494026.1|DSAN	LOC6607083|XP_032579519.1|DSEC
OG0000000	LOC120453829|XP_039494657.1|DSAN	LOC6612938|XP_032579196.1|DSEC
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC120443793|XP_039479056.1|DSAN	LOC6611813|XP_002036335.1|DSEC
OG0000000	LOC120454315|XP_039495452.1|DSAN	LOC6607813|XP_032578052.1|DSEC
OG0000000	LOC120446300|XP_039483141.1|DSAN	LOC6608931|XP_002033645.2|DSEC
OG0000000	LOC120444898|XP_039480821.1|DSAN	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC
OG0000000	LOC120458417|XP_039501988.1|DSAN	LOC116800542|XP_032571951.1|DSEC
OG0000000	LOC120458841|XP_039502600.1|DSAN	LOC116803586|XP_032583371.1|DSEC
OG0000000	LOC120447669|XP_039485129.1|DSAN	LOC116801073|XP_032574487.1|DSEC
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC120453354|XP_039493961.1|DSAN	LOC6612925|XP_002037417.1|DSEC
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC116801718|XP_032578762.1|DSEC
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC120446643|XP_039483646.1|DSAN	LOC6609905|XP_032572518.1|DSEC
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN	LOC6618816|XP_002043065.1|DSEC
OG0000000	LOC120444942|XP_039480879.1|DSAN	LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC120453562|XP_039494248.1|DSAN	LOC6613854|XP_002038323.1|DSEC
OG0000000	LOC120448603|XP_039486639.1|DSAN	LOC6605446|XP_002030279.1|DSEC
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC120446974|XP_039484179.1|DSAN	LOC6609226|XP_032570279.1|DSEC
OG0000003	LOC120446687|XP_039483714.1|DSAN	LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC120452715|XP_039493011.1|DSAN	LOC6617182|XP_002041509.2|DSEC
OG0000003	LOC120446686|XP_039483713.1|DSAN	LOC6609229|XP_032570278.1|DSEC
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC6607893|XP_002032647.1|DSEC
OG0000003	LOC120446976|XP_039484181.1|DSAN	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC120446688|XP_039483715.1|DSAN	LOC116800691|XP_032572969.1|DSEC
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC120458377|XP_039501931.1|DSAN	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC6610954|XP_002035511.1|DSEC
OG0000007	LOC120449521|XP_039487968.1|DSAN	LOC6610952|XP_032575303.1|DSEC
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC6613406|XP_032583270.1|DSEC
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN	LOC6612775|XP_032579057.1|DSEC
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC120448335|XP_039486223.1|DSAN	LOC6604871|XP_002029716.1|DSEC
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC6604870|XP_002029715.1|DSEC
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC6613405|XP_032574637.1|DSEC
OG0000007	LOC120449828|XP_039488411.1|DSAN	LOC6610955|XP_032575304.1|DSEC
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC120456894|XP_039499926.1|DSAN	LOC6612353|XP_002036862.1|DSEC
OG0000008	LOC120453055|XP_039493511.1|DSAN	LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
