Orthogroup	DHYD.longest_only	AALB.longest_only
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC118468339|XP_035794991.1|AALB
OG0000006	LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD, LOC115483279|XP_030080482.1|DHYD	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC118459424|XP_035778662.1|AALB
OG0000009	LOC111604985|XP_023179049.1|DHYD, LOC111604987|XP_023179051.2|DHYD, LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD, LOC111603540|XP_030079215.1|DHYD, LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD, LOC111593562|XP_023162191.2|DHYD, LOC111593549|XP_023162171.2|DHYD, LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC115483264|XP_030080469.1|DHYD	LOC118464061|XP_035787001.1|AALB
OG0000010	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC115482881|XP_030078991.1|DHYD	LOC118464059|XP_035786999.1|AALB
OG0000012	LOC111603849|XP_023177406.2|DHYD, LOC111603850|XP_023177409.2|DHYD, LOC111603802|XP_023177320.1|DHYD, LOC111603848|XP_023177404.2|DHYD, LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD, LOC111597898|XP_023168600.2|DHYD, LOC111597903|XP_023168607.2|DHYD	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC118467364|XP_035793659.1|AALB
