Orthogroup	CPIP.longest_only	DSEC.longest_only
OG0000002	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP	LOC6619439|XP_032575015.1|DSEC
OG0000002	LOC120419546|XP_039438193.1|CPIP, LOC120419521|XP_039438165.1|CPIP, LOC120418402|XP_039436711.1|CPIP, LOC120414094|XP_039431052.1|CPIP, LOC120418401|XP_039436709.1|CPIP, LOC120421142|XP_039440266.1|CPIP, LOC120424995|XP_039445299.1|CPIP, LOC120422665|XP_039442103.1|CPIP, LOC120422680|XP_039442124.1|CPIP, LOC120420901|XP_039439958.1|CPIP, LOC120422657|XP_039442096.1|CPIP, LOC120422666|XP_039442104.1|CPIP, LOC120422654|XP_039442094.1|CPIP, LOC120422658|XP_039442097.1|CPIP, LOC120420898|XP_039439952.1|CPIP, LOC120419545|XP_039438192.1|CPIP, LOC120419977|XP_039438786.1|CPIP, LOC120424991|XP_039445294.1|CPIP	LOC6613615|XP_032570344.1|DSEC
OG0000007	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP	LOC116800972|XP_032573823.1|DSEC, LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC, LOC6613406|XP_032583270.1|DSEC, LOC6608215|XP_032572281.1|DSEC, LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC, LOC6613407|XP_032570241.1|DSEC, LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC, LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC120421619|XP_039440783.1|CPIP	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC120421726|XP_039440908.1|CPIP	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC120421683|XP_039440852.1|CPIP	LOC6610741|XP_002035307.2|DSEC
OG0000009	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC, LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC, LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC, LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC, LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC, LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC
OG0000010	LOC120415441|XP_039432923.1|CPIP	LOC6606375|XP_032579311.1|DSEC
OG0000012	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP	LOC6609925|XP_002034575.2|DSEC, LOC6609924|XP_002034574.2|DSEC, LOC6609923|XP_032571611.1|DSEC, LOC6609926|XP_002034576.1|DSEC, LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC120421446|XP_039440586.1|CPIP	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC120414719|XP_039431959.1|CPIP	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC120419254|XP_039437842.1|CPIP	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP	LOC6605619|XP_032575697.1|DSEC
OG0000013	LOC120420165|XP_039439065.1|CPIP	LOC6606578|XP_002031379.1|DSEC
OG0000013	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP	LOC6607674|XP_002032439.2|DSEC, LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000016	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC120432396|XP_039453527.1|CPIP	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC120421049|XP_039440125.1|CPIP	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP	LOC6616531|XP_002040890.1|DSEC
OG0000018	LOC120418854|XP_039437316.1|CPIP	LOC6610980|XP_002035537.1|DSEC
OG0000019	LOC120417104|XP_039435015.1|CPIP, LOC120426863|XP_039447601.1|CPIP, LOC120417105|XP_039435016.1|CPIP, LOC120426867|XP_039447605.1|CPIP, LOC120426866|XP_039447604.1|CPIP, LOC120426873|XP_039447610.1|CPIP, LOC120426878|XP_039447615.1|CPIP, LOC120426877|XP_039447614.1|CPIP, LOC120426875|XP_039447611.1|CPIP, LOC120428181|XP_039449096.1|CPIP, LOC120428060|XP_039448954.1|CPIP, LOC120415075|XP_039432414.1|CPIP, LOC120414371|XP_039431471.1|CPIP, LOC120428640|XP_039449615.1|CPIP	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC120421785|XP_039440991.1|CPIP	LOC116801805|XP_032579403.1|DSEC, LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC120420106|XP_039438987.1|CPIP	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC, LOC6619030|XP_032578205.1|DSEC, LOC6606811|XP_002031608.2|DSEC, LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC120418811|XP_039437259.1|CPIP	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC120424111|XP_039444066.1|CPIP	LOC6607757|XP_002032520.1|DSEC, LOC6606667|XP_002031467.1|DSEC, LOC6620369|XP_002044577.1|DSEC
OG0000022	LOC120418999|XP_039437504.1|CPIP	LOC6609401|XP_002034086.1|DSEC, LOC6610269|XP_002034864.1|DSEC, LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC, LOC116801300|XP_032575946.1|DSEC
OG0000023	LOC120424653|XP_039444760.1|CPIP, LOC120424643|XP_039444746.1|CPIP	LOC6614266|XP_002038706.1|DSEC, LOC6614270|XP_002038710.2|DSEC, LOC6614272|XP_002038712.1|DSEC, LOC6615538|XP_002039917.1|DSEC, LOC6614271|XP_032578446.1|DSEC, LOC6614265|XP_002038705.1|DSEC, LOC6614261|XP_032579066.1|DSEC, LOC6614263|XP_002038703.1|DSEC, LOC6614259|XP_032579064.1|DSEC
OG0000025	LOC120425545|XP_039446040.1|CPIP, LOC120422939|XP_039442451.1|CPIP	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC120420109|XP_039438991.1|CPIP, LOC120420108|XP_039438989.1|CPIP, LOC120420107|XP_039438988.1|CPIP, LOC120420114|XP_039438997.1|CPIP, LOC120420115|XP_039438998.1|CPIP, LOC120424841|XP_039445018.1|CPIP, LOC120424843|XP_039445020.1|CPIP, LOC120424842|XP_039445019.1|CPIP, LOC120414676|XP_039431895.1|CPIP, LOC120421347|XP_039440461.1|CPIP	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC, LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC120419680|XP_039438401.1|CPIP, LOC120419648|XP_039438338.1|CPIP, LOC120419663|XP_039438360.1|CPIP, LOC120419649|XP_039438339.1|CPIP, LOC120419660|XP_039438354.1|CPIP	LOC6611562|XP_002036100.1|DSEC, LOC6611565|XP_002036103.2|DSEC, LOC6611563|XP_002036101.1|DSEC
OG0000028	LOC120431646|XP_039452687.1|CPIP, LOC120428342|XP_039449274.1|CPIP, LOC120413636|XP_039430486.1|CPIP	LOC116801287|XP_032575822.1|DSEC, LOC116801288|XP_032575823.1|DSEC, LOC6619350|XP_032575819.1|DSEC, LOC116801283|XP_032575818.1|DSEC, LOC116800996|XP_032573943.1|DSEC, LOC116801284|XP_032575821.1|DSEC, LOC6619351|XP_032575820.1|DSEC, LOC6605908|XP_002030721.1|DSEC
