Orthogroup	DERE.longest_only	DSAN.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC6555364|XP_026831619.1|DERE	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC6546799|XP_001975893.2|DERE	LOC120444734|XP_039480595.1|DSAN
OG0000000	LOC6541982|XP_001968936.1|DERE	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC6551988|XP_026839788.1|DERE	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC6554923|XP_001981128.1|DERE	LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC6541136|XP_001969303.1|DERE	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC6554482|XP_001981927.3|DERE	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC6548870|XP_001975456.3|DERE	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN
OG0000000	LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE	LOC120455242|XP_039497157.1|DSAN
OG0000000	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE	LOC120458841|XP_039502600.1|DSAN
OG0000000	LOC6544187|XP_026833238.1|DERE	LOC120447669|XP_039485129.1|DSAN
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN
OG0000000	LOC6548099|XP_001976605.1|DERE	LOC120444942|XP_039480879.1|DSAN
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC120447885|XP_039485430.1|DSAN
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC6541336|XP_001968621.3|DERE	LOC120448038|XP_039485719.1|DSAN
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC6554587|XP_001981543.2|DERE	LOC120452715|XP_039493011.1|DSAN
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC26526619|XP_015012824.1|DERE	LOC120446973|XP_039484178.1|DSAN
OG0000003	LOC6549104|XP_001975569.3|DERE	LOC120446976|XP_039484181.1|DSAN
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC120458377|XP_039501931.1|DSAN
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC120458775|XP_039502488.1|DSAN
OG0000004	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE	LOC120457677|XP_039501102.1|DSAN, LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN, LOC120457919|XP_039501359.1|DSAN, LOC120446198|XP_039482981.1|DSAN, LOC120457920|XP_039501360.1|DSAN, LOC120457916|XP_039501355.1|DSAN, LOC120457918|XP_039501357.1|DSAN, LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN
OG0000005	LOC113564801|XP_026839449.1|DERE	LOC120457950|XP_039501390.1|DSAN
OG0000005	LOC6556228|XP_001983059.1|DERE	LOC120457952|XP_039501392.1|DSAN
OG0000006	LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC120446201|XP_039482984.1|DSAN, LOC120457933|XP_039501373.1|DSAN, LOC120457937|XP_039501378.1|DSAN, LOC120457936|XP_039501377.1|DSAN, LOC120457670|XP_039501096.1|DSAN
OG0000007	LOC6546441|XP_001972927.1|DERE	LOC120450299|XP_039489171.1|DSAN
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC120449593|XP_039488092.1|DSAN
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC120449309|XP_039487635.1|DSAN
OG0000007	LOC6545296|XP_001972054.1|DERE	LOC120449521|XP_039487968.1|DSAN
OG0000007	LOC6545101|XP_001972052.1|DERE	LOC120448495|XP_039486458.1|DSAN
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC120458533|XP_039502144.1|DSAN
