Orthogroup	DNOV.longest_only	DEUG.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG, LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC108114927|XP_017081602.1|DEUG, LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG, LOC108113890|XP_017080084.1|DEUG, LOC108113892|XP_017080086.1|DEUG
OG0000001	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV	LOC108118112|XP_017086151.1|DEUG, LOC108103727|XP_017064815.1|DEUG
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC108113823|XP_017080058.1|DEUG
OG0000006	LOC115770811|XP_030572093.1|DNOV, LOC115761879|XP_030559740.1|DNOV, LOC115761846|XP_030559688.1|DNOV, LOC115761994|XP_030559922.1|DNOV, LOC115770582|XP_030571767.1|DNOV, LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV, LOC115770605|XP_030571802.1|DNOV	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG
