Orthogroup	DBIA.longest_only	DSAN.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC108024306|XP_016949697.1|DBIA	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA	LOC120447820|XP_039485331.1|DSAN
OG0000000	LOC108034426|XP_016964799.1|DBIA	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC108031000|XP_016959689.1|DBIA	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC108033578|XP_016963412.1|DBIA	LOC120458841|XP_039502600.1|DSAN
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC108025419|XP_016951390.1|DBIA	LOC120453354|XP_039493961.1|DSAN
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC108032904|XP_016962446.1|DBIA	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC108034432|XP_016964806.1|DBIA	LOC120447885|XP_039485430.1|DSAN
OG0000000	LOC108032244|XP_016961600.1|DBIA	LOC120448603|XP_039486639.1|DSAN
OG0000001	LOC108036881|XP_016968745.1|DBIA	LOC120449510|XP_039487947.1|DSAN
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC108029040|XP_016956580.1|DBIA	LOC120448038|XP_039485719.1|DSAN
OG0000003	LOC108030370|XP_016958727.1|DBIA	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC108030025|XP_016958054.1|DBIA	LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC108024348|XP_016949739.1|DBIA	LOC120452715|XP_039493011.1|DSAN
OG0000003	LOC108030024|XP_016958053.1|DBIA	LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC108030172|XP_016958401.1|DBIA	LOC120446973|XP_039484178.1|DSAN
