Orthogroup	DHYD.longest_only	DKIK.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC108082125|XP_017032915.1|DKIK, LOC108076145|XP_017024362.1|DKIK
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC111599235|XP_023170600.2|DHYD, LOC111597303|XP_023167695.2|DHYD	LOC108082094|XP_017032879.1|DKIK
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC111602573|XP_030082008.1|DHYD	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC108073963|XP_017021295.1|DKIK
