Orthogroup	DSUZ.longest_only	BCOP.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ, LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ, LOC108013925|XP_016935418.2|DSUZ, LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ, LOC108019563|XP_016942889.1|DSUZ, LOC118877230|XP_036670644.1|DSUZ, LOC108007474|XP_036670349.1|DSUZ, LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ, LOC108008220|XP_016927499.2|DSUZ, LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ, LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ, LOC118878125|XP_036675508.1|DSUZ, LOC108012145|XP_036675462.1|DSUZ, LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ, LOC108016521|XP_036671132.1|DSUZ, LOC108017700|XP_016940298.1|DSUZ, LOC108016425|XP_016938565.2|DSUZ, LOC108020024|XP_036672415.1|DSUZ, LOC108011960|XP_036678587.1|DSUZ, LOC108012138|XP_036675463.1|DSUZ, LOC108012139|XP_036675579.1|DSUZ, LOC108012154|XP_036675464.1|DSUZ, LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ, LOC108011579|XP_036673946.1|DSUZ, LOC108013429|XP_016934786.2|DSUZ, LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ, LOC118878061|XP_036675143.1|DSUZ, LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ, LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ	LOC119067394|XP_037026221.1|BCOP
OG0000002	LOC108016449|XP_016938590.2|DSUZ, LOC108011106|XP_016931667.2|DSUZ, LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000005	LOC118879271|XP_036678048.1|DSUZ, LOC118879262|XP_036678038.1|DSUZ, LOC118879260|XP_036678036.1|DSUZ, LOC118879641|XP_036678429.1|DSUZ, LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ, LOC118879258|XP_036678034.1|DSUZ, LOC108016328|XP_036678434.1|DSUZ, LOC118879259|XP_036678035.1|DSUZ, LOC118879512|XP_036678269.1|DSUZ, LOC118877313|XP_036671386.1|DSUZ, LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC119075400|XP_037037739.1|BCOP
OG0000006	LOC118879255|XP_036678031.1|DSUZ	LOC119078394|XP_037041792.1|BCOP
OG0000007	LOC108004804|XP_016923359.1|DSUZ, LOC118877416|XP_036672028.1|DSUZ, LOC108013025|XP_016934104.1|DSUZ, LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ, LOC118879795|XP_036678702.1|DSUZ, LOC108019834|XP_016943342.1|DSUZ, LOC108017241|XP_036675632.1|DSUZ, LOC108015466|XP_016937387.2|DSUZ, LOC118876800|XP_036668611.1|DSUZ, LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ, LOC108013030|XP_016934110.1|DSUZ	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC119076148|XP_037038725.1|BCOP
