Orthogroup	DSUP.longest_only	DMIR.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC119551980|XP_037717623.1|DSUP	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC119563094|XP_037732252.1|DSUP	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC119562944|XP_037732029.1|DSUP	LOC108156429|XP_017143371.1|DMIR
OG0000000	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC119553046|XP_037719085.1|DSUP	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC119547184|XP_037709847.1|DSUP	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC119548570|XP_037711816.1|DSUP	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR
