Orthogroup	DBIA.longest_only	DPSE.longest_only
OG0000000	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA	LOC6896676|XP_033241757.1|DPSE
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC108031001|XP_016959690.1|DBIA	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC108033239|XP_016962994.1|DBIA	LOC6898538|XP_033233460.1|DPSE
OG0000000	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC108022120|XP_016946450.1|DBIA	LOC6896813|XP_033232366.1|DPSE
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC4801605|XP_001358672.2|DPSE
