Orthogroup	DBIA.longest_only	DGUA.longest_only
OG0000000	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA	LOC117583198|XP_034127292.1|DGUA
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC117583194|XP_034127289.1|DGUA
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC108033239|XP_016962994.1|DBIA	LOC117592522|XP_034142264.1|DGUA
OG0000000	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC108035120|XP_016966040.1|DBIA	LOC117585205|XP_034130473.1|DGUA
OG0000000	LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC108027710|XP_016954748.1|DBIA	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA, LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC108029368|XP_016957084.1|DBIA	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC117587981|XP_034134880.1|DGUA
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC117591658|XP_034140872.1|DGUA
OG0000007	LOC108028761|XP_016956223.1|DBIA	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC108028706|XP_016956144.1|DBIA	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC108027672|XP_016954706.1|DBIA	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC108029358|XP_016957069.1|DBIA	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC108025402|XP_016951367.1|DBIA	LOC117583201|XP_034127296.1|DGUA
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC108034518|XP_016964930.1|DBIA	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC108027854|XP_016954941.1|DBIA	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC108028309|XP_016955521.1|DBIA	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC108028310|XP_016955522.1|DBIA	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC108027095|XP_016953802.1|DBIA	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC108027071|XP_016953774.1|DBIA	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC108031158|XP_016959863.1|DBIA	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC108032245|XP_016961597.1|DBIA	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC108031027|XP_016959717.1|DBIA	LOC117585408|XP_034130767.1|DGUA
OG0000009	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC108028108|XP_016955244.1|DBIA	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC108022184|XP_016946525.1|DBIA	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC108032134|XP_016961458.1|DBIA	LOC117586357|XP_034132268.1|DGUA
OG0000009	LOC108023117|XP_016947872.1|DBIA	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC117583778|XP_034128224.1|DGUA
OG0000011	LOC108027845|XP_016954924.1|DBIA, LOC108033439|XP_016963254.1|DBIA, LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA, LOC108027698|XP_016954736.1|DBIA, LOC108027691|XP_016954727.1|DBIA, LOC108027694|XP_016954732.1|DBIA, LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA, LOC108027705|XP_016954744.1|DBIA, LOC108027867|XP_016954970.1|DBIA, LOC108033517|XP_016963352.1|DBIA, LOC108033630|XP_016963538.1|DBIA, LOC108035164|XP_016966113.1|DBIA, LOC108024287|XP_016949675.1|DBIA	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA
OG0000011	LOC108035648|XP_016966843.1|DBIA	LOC117579965|XP_034122030.1|DGUA
OG0000011	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA	LOC117579216|XP_034120874.1|DGUA
OG0000011	LOC108024710|XP_016950292.1|DBIA	LOC117585951|XP_034131639.1|DGUA
OG0000012	LOC108026825|XP_016953482.1|DBIA	LOC117578829|XP_034120480.1|DGUA
OG0000012	LOC108026824|XP_016953480.1|DBIA	LOC117578830|XP_034120484.1|DGUA
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	LOC117578828|XP_034120477.1|DGUA
OG0000012	LOC108026906|XP_016953604.1|DBIA	LOC117578831|XP_034120485.1|DGUA
OG0000012	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA
OG0000012	LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA	LOC117585406|XP_034130769.1|DGUA
OG0000012	LOC108022093|XP_016946425.1|DBIA	LOC117592596|XP_034142370.1|DGUA
OG0000012	LOC108022195|XP_016946536.1|DBIA	LOC117592593|XP_034142368.1|DGUA
OG0000012	LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA	LOC117592595|XP_034142369.1|DGUA
OG0000012	LOC108022979|XP_016947693.1|DBIA	LOC117592597|XP_034142371.1|DGUA
OG0000012	LOC108022976|XP_016947689.1|DBIA	LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC117580093|XP_034122238.1|DGUA
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC117589807|XP_034137915.1|DGUA
OG0000013	LOC108026153|XP_016952377.1|DBIA	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC117583601|XP_034127885.1|DGUA
OG0000015	LOC108030294|XP_016958615.1|DBIA	LOC117588212|XP_034135242.1|DGUA
OG0000016	LOC108031488|XP_016960465.1|DBIA	LOC117589945|XP_034138127.1|DGUA
OG0000016	LOC108022510|XP_016946968.1|DBIA	LOC117587659|XP_034134479.1|DGUA
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC108036535|XP_016968248.1|DBIA	LOC117592229|XP_034141753.1|DGUA
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC117581434|XP_034124497.1|DGUA
OG0000016	LOC108024269|XP_016949648.1|DBIA	LOC117588507|XP_034135722.1|DGUA
OG0000016	LOC108026160|XP_016952383.1|DBIA	LOC117585750|XP_034131294.1|DGUA
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC117579173|XP_034120827.1|DGUA
OG0000017	LOC108036348|XP_016967909.1|DBIA	LOC117582389|XP_034125960.1|DGUA
