Orthogroup	SLEB.longest_only	DERE.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE, LOC6552159|XP_001980711.1|DERE
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC6544810|XP_026832924.1|DERE, LOC6544813|XP_001973192.2|DERE, LOC6544812|XP_001973191.2|DERE
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC115632651|XP_030385741.1|SLEB	LOC26526070|XP_026831673.1|DERE
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE
OG0000002	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE
OG0000003	LOC115620049|XP_030369030.1|SLEB	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC6543184|XP_001968830.1|DERE
OG0000004	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE
OG0000005	LOC115630367|XP_030382760.1|SLEB	LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC115630265|XP_030382658.1|SLEB, LOC115630313|XP_030382711.1|SLEB, LOC115630278|XP_030382673.1|SLEB, LOC115633465|XP_030386780.1|SLEB, LOC115630135|XP_030382603.1|SLEB	LOC6548691|XP_001974010.1|DERE
OG0000006	LOC115630314|XP_030382712.1|SLEB	LOC113564799|XP_026839447.1|DERE
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC6545298|XP_001972056.1|DERE
