Orthogroup	AEAL.longest_only	DPSE.longest_only
OG0000001	LOC115255933|XP_029710011.1|AEAL	LOC117184929|XP_033240037.1|DPSE
OG0000001	LOC115268193|XP_029732105.1|AEAL	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE
OG0000001	LOC115261991|XP_029719785.1|AEAL, LOC109413281|XP_029733375.1|AEAL, LOC115256684|XP_029711456.1|AEAL, LOC109623019|XP_029710293.1|AEAL, LOC115269400|XP_029733938.1|AEAL, LOC109422104|XP_029710301.1|AEAL, LOC115268913|XP_029732984.1|AEAL, LOC115266749|XP_029729152.1|AEAL, LOC115264723|XP_029724605.1|AEAL, LOC115257858|XP_029713675.1|AEAL, LOC115254420|XP_029707769.1|AEAL, LOC109399038|XP_029725309.1|AEAL, LOC115269388|XP_029733924.1|AEAL, LOC109622039|XP_029729050.1|AEAL, LOC115261584|XP_029719346.1|AEAL, LOC109405551|XP_019534182.2|AEAL, LOC115256176|XP_029710296.1|AEAL, LOC109426131|XP_029734345.1|AEAL, LOC115262999|XP_029721807.1|AEAL, LOC115256498|XP_029711026.1|AEAL, LOC115255519|XP_029709507.1|AEAL, LOC115268963|XP_029733077.1|AEAL, LOC115258904|XP_029715227.1|AEAL, LOC115265164|XP_029725288.1|AEAL, LOC115268831|XP_029732866.1|AEAL, LOC115268669|XP_029732641.1|AEAL, LOC115268100|XP_029731982.1|AEAL	LOC117184985|XP_033240229.1|DPSE
OG0000001	LOC115255489|XP_029709475.1|AEAL, LOC115261988|XP_029719780.1|AEAL	LOC117184685|XP_033239190.1|DPSE, LOC117184639|XP_033239061.1|DPSE
OG0000005	LOC115255470|XP_029709453.1|AEAL, LOC115262910|XP_029721668.1|AEAL, LOC109621766|XP_019931446.2|AEAL, LOC115265236|XP_029725377.1|AEAL, LOC115263152|XP_029721939.1|AEAL, LOC115261259|XP_029718493.1|AEAL, LOC115261266|XP_029718501.1|AEAL, LOC115261255|XP_029718489.1|AEAL, LOC115261257|XP_029718491.1|AEAL, LOC115261289|XP_029718530.1|AEAL, LOC115261597|XP_029719357.1|AEAL, LOC115261594|XP_029719355.1|AEAL, LOC115261223|XP_029718457.1|AEAL, LOC115261254|XP_029718488.1|AEAL, LOC115261256|XP_029718490.1|AEAL, LOC115261258|XP_029718492.1|AEAL, LOC115261260|XP_029718495.1|AEAL, LOC109398605|XP_019526537.1|AEAL, LOC109398661|XP_029714684.1|AEAL	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE
OG0000006	LOC109431199|XP_019562958.1|AEAL	LOC117185602|XP_033241630.1|DPSE
OG0000006	LOC109621653|XP_019931303.1|AEAL	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC115264605|XP_029724328.1|AEAL, LOC115254131|XP_029724356.1|AEAL, LOC109404534|XP_019532976.1|AEAL, LOC115270060|XP_029734892.1|AEAL, LOC109420133|XP_019549991.1|AEAL, LOC109431220|XP_019562977.1|AEAL, LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL, LOC109431223|XP_019562981.1|AEAL	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC6900428|XP_002134819.1|DPSE, LOC5495512|XP_001353851.2|DPSE, LOC5495507|XP_001353849.1|DPSE, LOC5495509|XP_001355939.3|DPSE, LOC4805058|XP_001361522.1|DPSE, LOC6896708|XP_002136922.1|DPSE, LOC4800234|XP_001357614.1|DPSE, LOC6896707|XP_002136921.2|DPSE, LOC4816610|XP_001355938.2|DPSE, LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE, LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC109409014|XP_019537968.1|AEAL	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC6903158|XP_002132860.2|DPSE
