Orthogroup	DSUB.longest_only	DMEL.longest_only
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC117889909|XP_034650326.1|DSUB	CG33775|NP_001027410.1|DMEL
OG0000000	LOC117893407|XP_034655897.1|DSUB	CG33687|NP_001027130.2|DMEL
OG0000000	LOC117893701|XP_034656280.1|DSUB	CG33690|NP_001368948.1|DMEL
OG0000000	LOC117893403|XP_034655894.1|DSUB	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC117892287|XP_034654298.1|DSUB	CG12849|NP_611969.2|DMEL
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	CG33773|NP_001027213.1|DMEL
OG0000000	LOC117899299|XP_034665108.1|DSUB	CG33463|NP_995846.2|DMEL
OG0000000	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	CG33648|NP_001027265.2|DMEL
OG0000000	LOC117896020|XP_034659918.1|DSUB	CG33721|NP_001036743.1|DMEL
OG0000000	LOC117901385|XP_034668002.1|DSUB	CG33928|NP_001027276.1|DMEL
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC117897324|XP_034661985.1|DSUB	CG14518|NP_651653.2|DMEL
OG0000002	LOC117891991|XP_034653760.1|DSUB	CG30281|NP_726164.1|DMEL
OG0000002	LOC117891990|XP_034653758.1|DSUB	CG30280|NP_611641.6|DMEL
OG0000002	LOC117899951|XP_034665996.1|DSUB	CG31832|NP_723894.2|DMEL
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	CG9500|NP_609018.3|DMEL
OG0000003	LOC117890983|XP_034652023.1|DSUB	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC117890985|XP_034652025.1|DSUB	Cyp6a18|NP_651563.1|DMEL, Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC117890142|XP_034650721.1|DSUB	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC117890987|XP_034652029.1|DSUB	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC117890986|XP_034652027.1|DSUB	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC117890988|XP_034652030.1|DSUB	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC117890991|XP_034652033.1|DSUB	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC117900241|XP_034666421.1|DSUB	Cyp6a16|NP_001285631.1|DMEL
OG0000005	LOC117901442|XP_034668076.1|DSUB	His2B_CG33880|NP_001027355.1|DMEL, His2B_CG33890|NP_001027330.1|DMEL, His2B_CG33874|NP_001027370.1|DMEL, His2B_CG33906|NP_001027291.1|DMEL, His2B_CG33910|NP_001027283.1|DMEL, His2B_CG33902|NP_001027300.1|DMEL, His2B_CG33870|NP_001027380.1|DMEL, His2B_CG33886|NP_001027340.1|DMEL, His2B_CG33888|NP_001027335.1|DMEL, His2B_CG33894|NP_001027320.1|DMEL, His2B_CG33900|NP_001027305.1|DMEL, His2B_CG33892|NP_001027325.1|DMEL, His2B_CG33908|NP_001027287.1|DMEL, His2B_CG33884|NP_001027345.1|DMEL, His2B_CG33876|NP_001027365.1|DMEL, His2B_CG33878|NP_001027360.1|DMEL, His2B_CG33898|NP_001027310.1|DMEL, His2B_CG17949|NP_724342.1|DMEL, His2B_CG33882|NP_001027350.1|DMEL, His2B_CG33904|NP_001027296.1|DMEL, His2B_CG33872|NP_001027375.1|DMEL, His2B_CG33896|NP_001027315.1|DMEL, His2B_CG33868|NP_001027385.1|DMEL
OG0000006	LOC117901441|XP_034668075.1|DSUB	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC117902681|XP_034670104.1|DSUB	His2A_CG33832|NP_001027331.1|DMEL
OG0000007	LOC117894589|XP_034657628.1|DSUB	Jon65Aiii|NP_648013.1|DMEL
OG0000007	LOC117900834|XP_034667236.1|DSUB	Jon25Bii|NP_608882.1|DMEL
OG0000007	LOC117890133|XP_034650711.1|DSUB	Jon44E|NP_724699.1|DMEL
OG0000007	LOC117897982|XP_034662985.1|DSUB	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL
OG0000007	LOC117900835|XP_034667237.1|DSUB	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC117894709|XP_034657781.1|DSUB	Jon66Ci|NP_729372.1|DMEL
OG0000007	LOC117901609|XP_034668319.1|DSUB	Jon25Biii|NP_608881.1|DMEL
OG0000007	LOC117894591|XP_034657631.1|DSUB	Jon65Aii|NP_648014.1|DMEL
OG0000007	LOC117894593|XP_034657634.1|DSUB	Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC117896362|XP_034660529.1|DSUB	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC117895169|XP_034658523.1|DSUB	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC117895168|XP_034658522.1|DSUB	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC117902083|XP_034669067.1|DSUB	Crys|NP_476906.1|DMEL
OG0000008	LOC117895171|XP_034658525.1|DSUB	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC117898640|XP_034664094.1|DSUB	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC117898631|XP_034664083.1|DSUB	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC117898634|XP_034664087.1|DSUB	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC117898636|XP_034664090.1|DSUB	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC117896628|XP_034660961.1|DSUB	CG11453|NP_650832.1|DMEL
OG0000009	LOC117898287|XP_034663434.1|DSUB	CG11391|NP_650830.1|DMEL
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL
OG0000009	LOC117890282|XP_034650935.1|DSUB	CG4563|NP_611913.1|DMEL
OG0000009	LOC117896426|XP_034660636.1|DSUB	CG4830|NP_650160.1|DMEL
OG0000009	LOC117892376|XP_034654476.1|DSUB	CG8834|NP_610779.1|DMEL
OG0000010	LOC117899454|XP_034665355.1|DSUB	His4_CG33883|NP_001027347.1|DMEL
OG0000011	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB	CG44002|NP_608754.1|DMEL, CG15436|NP_608840.1|DMEL, Neu2|NP_649316.1|DMEL, CG4318|NP_572860.2|DMEL
OG0000011	LOC117893712|XP_034656290.1|DSUB	CG17361|NP_648678.3|DMEL
OG0000011	LOC117894953|XP_034658172.1|DSUB	CG17359|NP_648679.1|DMEL
OG0000011	LOC117897187|XP_034661778.1|DSUB	CG8319|NP_649920.2|DMEL
OG0000012	LOC117892204|XP_034654190.1|DSUB	CG9416|NP_611415.2|DMEL
OG0000012	LOC117892205|XP_034654193.1|DSUB	CG10051|NP_611414.1|DMEL
OG0000012	LOC117892198|XP_034654182.1|DSUB	CG11961|NP_725876.1|DMEL
OG0000012	LOC117892199|XP_034654185.1|DSUB	CG10062|NP_001261089.1|DMEL
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB	CG10081|NP_611418.1|DMEL
OG0000012	LOC117892200|XP_034654187.1|DSUB	CG10073|NP_001261090.1|DMEL
OG0000012	LOC117891062|XP_034652125.1|DSUB	CG30047|NP_725141.1|DMEL
OG0000012	LOC117891063|XP_034652127.1|DSUB	CG30049|NP_725142.3|DMEL
OG0000012	LOC117891061|XP_034652124.1|DSUB	CG30043|NP_725143.1|DMEL
OG0000012	LOC117891058|XP_034652122.1|DSUB	CG33012|NP_788335.2|DMEL
OG0000012	LOC117891064|XP_034652128.1|DSUB	CG13160|NP_001260918.1|DMEL
OG0000013	LOC117890717|XP_034651649.1|DSUB	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC117896187|XP_034660170.1|DSUB	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC117896516|XP_034660775.1|DSUB	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC117895334|XP_034658799.1|DSUB	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC117898536|XP_034663901.1|DSUB	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	Hsp68|NP_524474.1|DMEL
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000015	LOC117902318|XP_034669497.1|DSUB	CG7763|NP_001356891.1|DMEL
OG0000016	LOC117899529|XP_034665488.1|DSUB	Act87E|NP_477091.1|DMEL
OG0000016	LOC117889984|XP_034650458.1|DSUB	Act57B|NP_523800.1|DMEL
OG0000016	LOC117898309|XP_034663475.1|DSUB	Arp1|NP_524331.2|DMEL
