Orthogroup	DNOV.longest_only	DBIA.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC108032904|XP_016962446.1|DBIA, LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC108021927|XP_016946239.1|DBIA
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC108034204|XP_016964524.1|DBIA
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC108021908|XP_016946219.1|DBIA
OG0000006	LOC115768961|XP_030569544.1|DNOV	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV	LOC108024778|XP_016950383.1|DBIA
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC108026153|XP_016952377.1|DBIA
