Orthogroup	DSAN.longest_only	DSUB.longest_only
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC120444898|XP_039480821.1|DSAN	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC117897324|XP_034661985.1|DSUB
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC120452715|XP_039493011.1|DSAN, LOC120446686|XP_039483713.1|DSAN	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC120446975|XP_039484180.1|DSAN, LOC120446688|XP_039483715.1|DSAN	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC117901441|XP_034668075.1|DSUB
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC120453571|XP_039494262.1|DSAN, LOC120453413|XP_039494045.1|DSAN, LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC117894709|XP_034657781.1|DSUB
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC120449828|XP_039488411.1|DSAN	LOC117894591|XP_034657631.1|DSUB
OG0000007	LOC120449911|XP_039488536.1|DSAN	LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC120453054|XP_039493509.1|DSAN, LOC120453055|XP_039493511.1|DSAN	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC120453871|XP_039494710.1|DSAN	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC120453053|XP_039493508.1|DSAN	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC120452274|XP_039492339.1|DSAN	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC120453887|XP_039494738.1|DSAN	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC120452846|XP_039493217.1|DSAN	LOC117896628|XP_034660961.1|DSUB
