Orthogroup	DMEL.longest_only	DEUG.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC108114097|XP_017080345.1|DEUG
OG0000000	CG33679|NP_001027273.1|DMEL	LOC108105829|XP_017068062.1|DEUG
OG0000000	CG33783|NP_001027168.1|DMEL	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	CG33775|NP_001027410.1|DMEL	LOC108112762|XP_017078510.1|DEUG
OG0000000	CG33687|NP_001027130.2|DMEL	LOC108113889|XP_017080083.1|DEUG
OG0000000	CG33690|NP_001368948.1|DMEL	LOC108114143|XP_017080414.1|DEUG
OG0000000	CG33688|NP_001027131.1|DMEL	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	CG12849|NP_611969.2|DMEL	LOC108107246|XP_017070153.1|DEUG
OG0000000	CG33920|NP_001027214.1|DMEL	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	CG33773|NP_001027213.1|DMEL	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	CG33723|NP_001027235.1|DMEL	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG
OG0000000	CG33658|NP_001027209.1|DMEL	LOC108117463|XP_017085374.1|DEUG
OG0000000	CG33798|NP_001027414.1|DMEL	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG
OG0000000	CG33463|NP_995846.2|DMEL	LOC108112677|XP_017078310.1|DEUG
OG0000000	CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL	LOC108108192|XP_017071633.1|DEUG
OG0000000	CG33483|NP_001189327.1|DMEL	LOC108113483|XP_017079557.1|DEUG
OG0000000	CG33648|NP_001027265.2|DMEL	LOC108113485|XP_017079560.1|DEUG
OG0000000	CG33721|NP_001036743.1|DMEL	LOC108115565|XP_017082560.1|DEUG
OG0000000	CG33928|NP_001027276.1|DMEL	LOC108103054|XP_017063857.1|DEUG
OG0000000	CG33453|NP_995888.1|DMEL	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG
OG0000000	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC108105763|XP_017067972.1|DEUG
OG0000000	CG14518|NP_651653.2|DMEL	LOC108115960|XP_017083085.1|DEUG
OG0000000	CG33927|NP_001027147.1|DMEL	LOC108114927|XP_017081602.1|DEUG
OG0000000	CG33796|NP_001027128.1|DMEL	LOC108114139|XP_017080411.1|DEUG
OG0000000	CG33795|NP_001027129.2|DMEL	LOC108113890|XP_017080084.1|DEUG
OG0000002	CG5550|NP_001246376.1|DMEL	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	CG30281|NP_726164.1|DMEL	LOC108112852|XP_017078659.1|DEUG
OG0000002	CG30280|NP_611641.6|DMEL	LOC108112853|XP_017078660.1|DEUG
OG0000002	CG31832|NP_723894.2|DMEL	LOC108105850|XP_017068103.1|DEUG
OG0000002	CG7668|NP_649170.1|DMEL	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC108106604|XP_017069284.1|DEUG
OG0000003	Cyp6a21|NP_611003.2|DMEL	LOC108106709|XP_017069429.1|DEUG
OG0000003	Cyp6a18|NP_651563.1|DMEL	LOC108115764|XP_017082821.1|DEUG
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC108106562|XP_017069219.1|DEUG
OG0000003	Cyp6a23|NP_611000.2|DMEL	LOC108106678|XP_017069398.1|DEUG
OG0000003	Cyp6a19|NP_611001.2|DMEL	LOC108106677|XP_017069397.1|DEUG
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC108106224|XP_017068639.1|DEUG
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC108104525|XP_017066146.1|DEUG
OG0000006	His2A_CG33826|NP_001027321.1|DMEL, His2A_CG33850|NP_001027361.1|DMEL, His2A_CG31618|NP_724343.1|DMEL, His2A_CG33847|NP_001027356.1|DMEL, His2A_CG33832|NP_001027331.1|DMEL	LOC108103399|XP_017064345.1|DEUG
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC108107881|XP_017071156.1|DEUG
OG0000007	CG10477|NP_648010.1|DMEL	LOC108107883|XP_017071158.1|DEUG
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC108102687|XP_017063316.1|DEUG
OG0000007	Jon44E|NP_724699.1|DMEL	LOC108104447|XP_017065997.1|DEUG
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC108102695|XP_017063328.1|DEUG
OG0000007	Jon66Ci|NP_729372.1|DMEL	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC108107529|XP_017070559.1|DEUG
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC108107925|XP_017071238.1|DEUG
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC108117090|XP_017084777.1|DEUG
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC108107847|XP_017071090.1|DEUG
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC108107843|XP_017071086.1|DEUG
OG0000008	Crys|NP_476906.1|DMEL	LOC108104027|XP_017065348.1|DEUG
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC108107848|XP_017071091.1|DEUG
OG0000008	Cpr5C|NP_572266.1|DMEL	LOC108103232|XP_017064122.1|DEUG
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC108116557|XP_017083985.1|DEUG
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC108116118|XP_017083331.1|DEUG
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC108116121|XP_017083334.1|DEUG
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC108116123|XP_017083335.1|DEUG
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC108116120|XP_017083333.1|DEUG
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC108116119|XP_017083332.1|DEUG
OG0000009	CG11453|NP_650832.1|DMEL	LOC108117308|XP_017085159.1|DEUG
OG0000009	CG11391|NP_650830.1|DMEL	LOC108117290|XP_017085135.1|DEUG
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG
OG0000009	CG11407|NP_650831.1|DMEL	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	CG5568|NP_647992.1|DMEL	LOC108107590|XP_017070640.1|DEUG
OG0000009	CG18586|NP_647993.2|DMEL	LOC108107618|XP_017070676.1|DEUG
OG0000009	CG4563|NP_611913.1|DMEL	LOC108107216|XP_017070122.1|DEUG
OG0000009	CG4830|NP_650160.1|DMEL	LOC108111728|XP_017076770.1|DEUG
OG0000009	CG8834|NP_610779.1|DMEL	LOC108106283|XP_017068739.1|DEUG
OG0000010	His4_CG33903|NP_001027297.1|DMEL, His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL, His4_CG33871|NP_001027377.1|DMEL, His4_CG33887|NP_001027337.1|DMEL	LOC108105230|XP_017067186.1|DEUG
OG0000010	His4_CG33899|NP_001027307.1|DMEL	LOC108103372|XP_017064308.1|DEUG
OG0000011	CG15436|NP_608840.1|DMEL	LOC108102616|XP_017063214.1|DEUG
OG0000011	Neu2|NP_649316.1|DMEL	LOC108108695|XP_017072289.1|DEUG
