Orthogroup	DBUS.longest_only	DSUP.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC119551980|XP_037717623.1|DSUP, LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC119549506|XP_037713545.1|DSUP, LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC119563146|XP_037732330.1|DSUP
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC119546867|XP_037709399.1|DSUP, LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC119546510|XP_037708761.1|DSUP
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC119560480|XP_037729870.1|DSUP
OG0000009	LOC108601444|XP_017844830.1|DBUS	LOC119545681|XP_037707348.1|DSUP
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC119550480|XP_037715097.1|DSUP
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC119559209|XP_037728208.1|DSUP, LOC119547995|XP_037710980.1|DSUP, LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP, LOC119559208|XP_037728207.1|DSUP
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC119559214|XP_037728212.1|DSUP, LOC119559211|XP_037728210.1|DSUP, LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP, LOC119559207|XP_037728206.1|DSUP, LOC119547994|XP_037710979.1|DSUP, LOC119559212|XP_037728211.1|DSUP
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC119554762|XP_037721730.1|DSUP
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC119550821|XP_037715691.1|DSUP
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC119551494|XP_037716788.1|DSUP
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000015	LOC108605188|XP_017850271.1|DBUS	LOC119547179|XP_037709842.1|DSUP
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC119560964|XP_037730645.1|DSUP
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC119549928|XP_037714197.1|DSUP, LOC119549685|XP_037713828.1|DSUP
