Orthogroup	DSUP.longest_only	DPER.longest_only
OG0000000	LOC119551980|XP_037717623.1|DSUP	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC119551998|XP_037717650.1|DSUP	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC119563094|XP_037732252.1|DSUP	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC119562944|XP_037732029.1|DSUP	LOC6594749|XP_026851250.1|DPER
OG0000000	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC119553046|XP_037719085.1|DSUP	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER
OG0000000	LOC119554309|XP_037721101.1|DSUP	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC119547184|XP_037709847.1|DSUP	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC119548570|XP_037711816.1|DSUP	LOC6592855|XP_026840797.1|DPER
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC6587480|XP_002013644.2|DPER
OG0000001	LOC119561797|XP_037731208.1|DSUP, LOC119559462|XP_037728496.1|DSUP, LOC119559031|XP_037728088.1|DSUP, LOC119562332|XP_037731421.1|DSUP, LOC119561847|XP_037731255.1|DSUP, LOC119562465|XP_037731580.1|DSUP	LOC113566438|XP_026847737.1|DPER
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC119546867|XP_037709399.1|DSUP	LOC6596381|XP_002021534.2|DPER
OG0000003	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC119549194|XP_037712951.1|DSUP, LOC119550953|XP_037715907.1|DSUP	LOC6591232|XP_002016678.1|DPER
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC6591235|XP_002016681.1|DPER
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC6596552|XP_002021689.1|DPER
OG0000004	LOC119559238|XP_037728236.1|DSUP, LOC119561506|XP_037731085.1|DSUP	LOC6599392|XP_026847172.1|DPER, LOC6599399|XP_026847197.1|DPER
