Orthogroup	DSAN.longest_only	DFIC.longest_only
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC120454013|XP_039494937.1|DSAN	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC120447820|XP_039485331.1|DSAN	LOC108089296|XP_017042963.1|DFIC
OG0000000	LOC120447882|XP_039485427.1|DSAN	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC120446300|XP_039483141.1|DSAN	LOC108100131|XP_017059373.1|DFIC
OG0000000	LOC120444898|XP_039480821.1|DSAN	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC120454324|XP_039495461.1|DSAN, LOC120453354|XP_039493961.1|DSAN	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC120446643|XP_039483646.1|DSAN	LOC108095110|XP_017051537.1|DFIC
OG0000000	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC120447885|XP_039485430.1|DSAN	LOC108089293|XP_017042959.1|DFIC
OG0000000	LOC120447884|XP_039485429.1|DSAN	LOC108089294|XP_017042961.1|DFIC
