Orthogroup	AAEG.longest_only	DSUP.longest_only
OG0000004	LOC110678209|XP_021706524.1|AAEG	LOC119561504|XP_037731082.1|DSUP, LOC119546078|XP_037708083.1|DSUP
OG0000004	LOC110679722|XP_021711141.1|AAEG, LOC110680682|XP_021712166.1|AAEG, LOC110679728|XP_021711147.1|AAEG, LOC110679724|XP_021711143.1|AAEG, LOC110678241|XP_021706552.1|AAEG, LOC110679725|XP_021711144.1|AAEG, LOC110678238|XP_021706549.1|AAEG, LOC110679726|XP_021711145.1|AAEG, LOC110679729|XP_021711149.1|AAEG, LOC110680540|XP_021712027.1|AAEG, LOC110679730|XP_021711150.1|AAEG, LOC110678233|XP_021706544.1|AAEG, LOC110678204|XP_021706522.1|AAEG, LOC110680681|XP_021712165.1|AAEG, LOC110678243|XP_021706554.1|AAEG, LOC110679036|XP_021708656.1|AAEG, LOC110679032|XP_021708651.1|AAEG, LOC110679117|XP_021708807.1|AAEG, LOC110677863|XP_021705288.1|AAEG, LOC110679102|XP_021708754.1|AAEG, LOC110680706|XP_021712187.1|AAEG, LOC110677797|XP_021705015.1|AAEG, LOC110678650|XP_021707481.1|AAEG, LOC110680705|XP_021712186.1|AAEG, LOC110677806|XP_021705025.1|AAEG, LOC110677964|XP_021705824.1|AAEG, LOC110678252|XP_021706563.1|AAEG, LOC110678165|XP_021706478.1|AAEG, LOC110680603|XP_021712095.1|AAEG, LOC110680711|XP_021712191.1|AAEG, LOC110679727|XP_021711146.1|AAEG, LOC110679031|XP_021708646.1|AAEG, LOC110679035|XP_021708655.1|AAEG, LOC110678234|XP_021706545.1|AAEG, LOC110679731|XP_021711151.1|AAEG, LOC110678242|XP_021706553.1|AAEG, LOC110678235|XP_021706546.1|AAEG, LOC110677805|XP_021705024.1|AAEG, LOC110679723|XP_021711142.1|AAEG, LOC110679732|XP_021711152.1|AAEG, LOC110681401|XP_021712835.1|AAEG, LOC110678249|XP_021706560.1|AAEG, LOC5579411|XP_021711139.1|AAEG, LOC110681222|XP_021712685.1|AAEG, LOC110680855|XP_021712340.1|AAEG, LOC110680854|XP_021712339.1|AAEG, LOC110680831|XP_021712313.1|AAEG, LOC110680845|XP_021712330.1|AAEG, LOC110680736|XP_021712218.1|AAEG, LOC110681344|XP_021712784.1|AAEG, LOC110680832|XP_021712314.1|AAEG, LOC110680844|XP_021712329.1|AAEG, LOC110681342|XP_021712783.1|AAEG, LOC110680739|XP_021712221.1|AAEG, LOC110680723|XP_021712206.1|AAEG, LOC110678125|XP_021706421.1|AAEG, LOC110680672|XP_021712155.1|AAEG, LOC110681229|XP_021712692.1|AAEG, LOC110677796|XP_021705014.1|AAEG, LOC110680718|XP_021712199.1|AAEG, LOC110680710|XP_021712190.1|AAEG, LOC110680693|XP_021712175.1|AAEG, LOC110678232|XP_021706543.1|AAEG, LOC110678258|XP_021706569.1|AAEG, LOC110680606|XP_021712097.1|AAEG, LOC110678239|XP_021706550.1|AAEG, LOC110681405|XP_021712839.1|AAEG, LOC110680541|XP_021712028.1|AAEG, LOC110680535|XP_021712022.1|AAEG, LOC110678225|XP_021706535.1|AAEG, LOC110680607|XP_021712098.1|AAEG, LOC110679469|XP_021709828.1|AAEG, LOC110680733|XP_021712216.1|AAEG, LOC110675140|XP_021695214.1|AAEG, LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP
OG0000005	LOC110678246|XP_021706557.1|AAEG	LOC119559588|XP_037728530.1|DSUP
OG0000006	LOC5579071|XP_001657264.1|AAEG	LOC119546620|XP_037708986.1|DSUP
OG0000006	LOC110679778|XP_021711201.1|AAEG	LOC119546623|XP_037708988.1|DSUP
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC110679777|XP_021711200.1|AAEG	LOC119559187|XP_037728176.1|DSUP
OG0000006	LOC110679784|XP_021711208.1|AAEG	LOC119546622|XP_037708987.1|DSUP
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC119555653|XP_037723160.1|DSUP, LOC119554492|XP_037721353.1|DSUP, LOC119554489|XP_037721348.1|DSUP, LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP, LOC119546692|XP_037709098.1|DSUP, LOC119550735|XP_037715578.1|DSUP, LOC119546637|XP_037709013.1|DSUP, LOC119546891|XP_037709439.1|DSUP, LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP, LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC119554296|XP_037721084.1|DSUP
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC119560146|XP_037729428.1|DSUP, LOC119560480|XP_037729870.1|DSUP, LOC119545681|XP_037707348.1|DSUP, LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP, LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC110678359|XP_021706812.1|AAEG	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP
OG0000010	LOC110679751|XP_021711173.1|AAEG	LOC119559228|XP_037728227.1|DSUP
OG0000010	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG	LOC119548250|XP_037711321.1|DSUP
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC119550822|XP_037715693.1|DSUP, LOC119550821|XP_037715691.1|DSUP, LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP, LOC119551494|XP_037716788.1|DSUP, LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP, LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP, LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC119545787|XP_037707587.1|DSUP, LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC119560964|XP_037730645.1|DSUP, LOC119551792|XP_037717267.1|DSUP
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC119560636|XP_037730116.1|DSUP
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC119555565|XP_037722943.1|DSUP
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC119554781|XP_037721753.1|DSUP
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC119545699|XP_037707379.1|DSUP, LOC119545701|XP_037707381.1|DSUP, LOC119545702|XP_037707383.1|DSUP, LOC119553849|XP_037720426.1|DSUP, LOC119545700|XP_037707380.1|DSUP, LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC119551011|XP_037715994.1|DSUP, LOC119549986|XP_037714317.1|DSUP
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP, LOC119561092|XP_037730913.1|DSUP, LOC119556769|XP_037725126.1|DSUP, LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC119552371|XP_037718001.1|DSUP, LOC119560336|XP_037729656.1|DSUP, LOC119555956|XP_037723602.1|DSUP
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC119559780|XP_037728787.1|DSUP, LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP, LOC119559786|XP_037728794.1|DSUP, LOC119559783|XP_037728790.1|DSUP, LOC119550999|XP_037715976.1|DSUP, LOC119559784|XP_037728792.1|DSUP, LOC119559779|XP_037728786.1|DSUP, LOC119559782|XP_037728789.1|DSUP, LOC119559778|XP_037728785.1|DSUP, LOC119559785|XP_037728793.1|DSUP
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC119551120|XP_037716232.1|DSUP, LOC119549911|XP_037714159.1|DSUP, LOC119552112|XP_037717826.1|DSUP, LOC119551714|XP_037717116.1|DSUP, LOC119551121|XP_037716233.1|DSUP, LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP, LOC119551919|XP_037717477.1|DSUP
OG0000025	LOC5571770|XP_001659902.2|AAEG	LOC119547413|XP_037710190.1|DSUP
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC119556135|XP_037723954.1|DSUP
OG0000025	LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	LOC119559590|XP_037728532.1|DSUP, LOC119559601|XP_037728544.1|DSUP, LOC119561449|XP_037731029.1|DSUP, LOC119561527|XP_037731107.1|DSUP, LOC119559244|XP_037728243.1|DSUP
OG0000025	LOC110679738|XP_021711159.1|AAEG	LOC119559249|XP_037728249.1|DSUP, LOC119559246|XP_037728246.1|DSUP
OG0000025	LOC110679737|XP_021711158.1|AAEG, LOC110678352|XP_021706806.1|AAEG, LOC110679747|XP_021711169.1|AAEG, LOC110679741|XP_021711162.1|AAEG, LOC110678304|XP_021706667.1|AAEG, LOC110677924|XP_021705634.1|AAEG, LOC110678834|XP_021708004.1|AAEG, LOC5578786|XP_001657156.1|AAEG, LOC110679742|XP_021711163.1|AAEG, LOC110679740|XP_021711161.1|AAEG	LOC119546077|XP_037708082.1|DSUP
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP, LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC119548404|XP_037711568.1|DSUP, LOC119548409|XP_037711576.1|DSUP, LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC119555139|XP_037722294.1|DSUP, LOC119555149|XP_037722305.1|DSUP, LOC119555148|XP_037722304.1|DSUP, LOC119555138|XP_037722293.1|DSUP, LOC119554395|XP_037721204.1|DSUP, LOC119555144|XP_037722299.1|DSUP, LOC119555146|XP_037722302.1|DSUP, LOC119555150|XP_037722306.1|DSUP, LOC119555145|XP_037722300.1|DSUP, LOC119555143|XP_037722297.1|DSUP, LOC119555141|XP_037722296.1|DSUP, LOC119555140|XP_037722295.1|DSUP, LOC119555147|XP_037722303.1|DSUP, LOC119553994|XP_037720628.1|DSUP, LOC119554450|XP_037721289.1|DSUP, LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC119562890|XP_037731935.1|DSUP, LOC119561586|XP_037731129.1|DSUP, LOC119550971|XP_037715934.1|DSUP, LOC119549481|XP_037713512.1|DSUP, LOC119546385|XP_037708552.1|DSUP, LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP, LOC119554065|XP_037720734.1|DSUP
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP, LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC119559763|XP_037728765.1|DSUP, LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP, LOC119560219|XP_037729506.1|DSUP, LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	LOC119548454|XP_037711646.1|DSUP, LOC119547534|XP_037710356.1|DSUP, LOC119546306|XP_037708427.1|DSUP, LOC119563012|XP_037732131.1|DSUP, LOC119552157|XP_037717904.1|DSUP, LOC119563011|XP_037732130.1|DSUP, LOC119546951|XP_037709518.1|DSUP
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC119560416|XP_037729780.1|DSUP
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC119555899|XP_037723507.1|DSUP
OG0000037	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG	LOC119549907|XP_037714155.1|DSUP, LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP
