Orthogroup	CCAP.longest_only	AAEG.longest_only
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC110678209|XP_021706524.1|AAEG
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC110678836|XP_021708006.1|AAEG
OG0000006	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP	LOC110679784|XP_021711208.1|AAEG
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC110679780|XP_021711203.1|AAEG, LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG, LOC110679774|XP_021711197.1|AAEG
OG0000007	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP, CCAP1982_LOCUS12646|CAD7004227.1|CCAP, CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP, CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC5577572|XP_001663444.2|AAEG
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC110677732|XP_021704637.1|AAEG
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP, CCAP1982_LOCUS21179|CAD7013106.1|CCAP, CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC110679751|XP_021711173.1|AAEG
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC110679806|XP_021711230.1|AAEG
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP, CCAP1982_LOCUS22582|CAD7014587.1|CCAP, CCAP1982_LOCUS22581|CAD7014586.1|CCAP, CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP, CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC110679353|XP_021709456.1|AAEG
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC110678734|XP_021707697.1|AAEG
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC110676139|XP_021698547.1|AAEG
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC110679299|XP_021709332.1|AAEG
