Orthogroup	DSIM.longest_only	DFIC.longest_only
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC6738255|XP_016032135.1|DSIM	LOC108089296|XP_017042963.1|DFIC
OG0000000	LOC6738256|XP_002085068.1|DSIM	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC6730724|XP_016023153.2|DSIM	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC6734251|XP_039147854.1|DSIM	LOC108100131|XP_017059373.1|DFIC
OG0000000	LOC6734670|XP_039148016.1|DSIM	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC6730283|XP_016037045.1|DSIM, LOC6730282|XP_002105565.2|DSIM	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC6735228|XP_002082201.1|DSIM	LOC108095110|XP_017051537.1|DFIC
OG0000000	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC6738252|XP_002085064.1|DSIM	LOC108089293|XP_017042959.1|DFIC
OG0000000	LOC6738253|XP_039150090.1|DSIM	LOC108089294|XP_017042961.1|DFIC
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC6735327|XP_016028674.2|DSIM	LOC108094815|XP_017051075.1|DFIC
OG0000003	LOC6734558|XP_002081567.1|DSIM	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC6734560|XP_016027665.1|DSIM	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC6734561|XP_002081570.1|DSIM	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC6734555|XP_002081564.3|DSIM	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC6734559|XP_002081568.1|DSIM	LOC108087749|XP_017040761.1|DFIC
