Orthogroup	HILL.longest_only	DKIK.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC108078585|XP_017027994.1|DKIK, LOC108077905|XP_017026932.1|DKIK, LOC108084016|XP_017035518.1|DKIK, LOC108085530|XP_017037652.1|DKIK, LOC108077933|XP_017026960.1|DKIK, LOC108078602|XP_017028011.1|DKIK, LOC108078603|XP_017028013.1|DKIK, LOC108072234|XP_017018785.1|DKIK, LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK, LOC108085308|XP_017037355.1|DKIK, LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK, LOC108085312|XP_017037357.1|DKIK, LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK, LOC108080870|XP_017031262.1|DKIK, LOC108080867|XP_017031259.1|DKIK, LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK, LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK, LOC108073703|XP_017020927.1|DKIK, LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK, LOC108082281|XP_017033101.1|DKIK, LOC108075384|XP_017023284.1|DKIK, LOC108076851|XP_017025370.1|DKIK, LOC108086044|XP_017038352.1|DKIK, LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK, LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK, LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK
OG0000003	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL	LOC108085733|XP_017037954.1|DKIK, LOC108083332|XP_017034568.1|DKIK, LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK, LOC108073963|XP_017021295.1|DKIK, LOC108074133|XP_017021525.1|DKIK
OG0000005	LOC119651767|XP_037911435.1|HILL	LOC108085749|XP_017037978.1|DKIK
OG0000006	LOC119655070|XP_037916694.1|HILL, LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL	LOC108072846|XP_017019650.1|DKIK
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC108071918|XP_017018366.1|DKIK, LOC108071584|XP_017017854.1|DKIK, LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK, LOC108086265|XP_017038640.1|DKIK, LOC108078491|XP_017027862.1|DKIK, LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK, LOC108086266|XP_017038642.1|DKIK, LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK, LOC108071626|XP_017017898.1|DKIK, LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC108070862|XP_017016987.1|DKIK, LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK, LOC108080451|XP_017030677.1|DKIK, LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC108080419|XP_017030641.1|DKIK, LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC108076150|XP_017024404.1|DKIK, LOC108076246|XP_017024517.1|DKIK, LOC108085665|XP_017037844.1|DKIK, LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK, LOC108070751|XP_017016837.1|DKIK, LOC108080446|XP_017030671.1|DKIK, LOC108082335|XP_017033154.1|DKIK, LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC108072854|XP_017019661.1|DKIK
OG0000010	LOC119656847|XP_037919426.1|HILL	LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK, LOC108077100|XP_017025772.1|DKIK, LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK, LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK, LOC108081964|XP_017032688.1|DKIK, LOC108072833|XP_017019613.1|DKIK, LOC108074515|XP_017022082.1|DKIK, LOC108075323|XP_017023218.1|DKIK, LOC108073175|XP_017020170.1|DKIK, LOC108074026|XP_017021384.1|DKIK
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC108076784|XP_017025279.1|DKIK, LOC108076783|XP_017025278.1|DKIK, LOC108076799|XP_017025312.1|DKIK, LOC108076590|XP_017024991.1|DKIK, LOC108076575|XP_017024974.1|DKIK, LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK, LOC108076609|XP_017025012.1|DKIK, LOC108082430|XP_017033289.1|DKIK, LOC108082433|XP_017033293.1|DKIK, LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK, LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK, LOC108082347|XP_017033172.1|DKIK, LOC108082320|XP_017033139.1|DKIK, LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK, LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC108081075|XP_017031544.1|DKIK
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC108075195|XP_017023019.1|DKIK
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC108083777|XP_017035189.1|DKIK, LOC108076702|XP_017025149.1|DKIK, LOC108074963|XP_017022684.1|DKIK, LOC108085024|XP_017036959.1|DKIK, LOC108083626|XP_017034986.1|DKIK, LOC108076532|XP_017024932.1|DKIK, LOC108070625|XP_017016677.1|DKIK, LOC108076530|XP_017024931.1|DKIK, LOC108074314|XP_017021803.1|DKIK, LOC108074298|XP_017021778.1|DKIK, LOC108074287|XP_017021766.1|DKIK
OG0000018	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL	LOC108071595|XP_017017864.1|DKIK
OG0000018	LOC119647980|XP_037905281.1|HILL	LOC108071574|XP_017017844.1|DKIK, LOC108071603|XP_017017873.1|DKIK, LOC108071591|XP_017017861.1|DKIK, LOC108071573|XP_017017843.1|DKIK, LOC108071585|XP_017017855.1|DKIK, LOC108071604|XP_017017875.1|DKIK, LOC108071596|XP_017017865.1|DKIK, LOC108071599|XP_017017870.1|DKIK
OG0000019	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL	LOC108084990|XP_017036905.1|DKIK, LOC108084992|XP_017036907.1|DKIK, LOC108084993|XP_017036908.1|DKIK, LOC108084902|XP_017036785.1|DKIK, LOC108084991|XP_017036906.1|DKIK, LOC108084988|XP_017036903.1|DKIK, LOC108084989|XP_017036904.1|DKIK
OG0000020	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL	LOC108075744|XP_017023787.1|DKIK, LOC108082576|XP_017033522.1|DKIK
OG0000020	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL	LOC108074767|XP_017022434.1|DKIK, LOC108074865|XP_017022566.1|DKIK, LOC108074784|XP_017022451.1|DKIK, LOC108074835|XP_017022525.1|DKIK, LOC108077930|XP_017026994.1|DKIK, LOC108072156|XP_017018689.1|DKIK, LOC108074862|XP_017022564.1|DKIK, LOC108074823|XP_017022510.1|DKIK
OG0000021	LOC119653674|XP_037914437.1|HILL	LOC108083858|XP_017035332.1|DKIK
OG0000021	LOC119660522|XP_037925071.1|HILL	LOC108073195|XP_017020199.1|DKIK
OG0000022	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL	LOC108082382|XP_017033212.1|DKIK
OG0000022	LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL	LOC108071489|XP_017017741.1|DKIK, LOC108071491|XP_017017743.1|DKIK, LOC108071516|XP_017017771.1|DKIK, LOC108071512|XP_017017766.1|DKIK, LOC108071514|XP_017017768.1|DKIK, LOC108071515|XP_017017770.1|DKIK, LOC108071513|XP_017017767.1|DKIK, LOC108071477|XP_017017725.1|DKIK, LOC108071510|XP_017017765.1|DKIK, LOC108071509|XP_017017764.1|DKIK
OG0000023	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL	LOC108084054|XP_017035562.1|DKIK, LOC108083991|XP_017035494.1|DKIK, LOC108084053|XP_017035561.1|DKIK, LOC108083993|XP_017035496.1|DKIK, LOC108083994|XP_017035497.1|DKIK, LOC108078099|XP_017027186.1|DKIK, LOC108083995|XP_017035498.1|DKIK, LOC108083992|XP_017035495.1|DKIK, LOC108084052|XP_017035560.1|DKIK, LOC108084215|XP_017035827.1|DKIK, LOC108084051|XP_017035559.1|DKIK, LOC108084214|XP_017035825.1|DKIK
OG0000024	LOC119655586|XP_037917457.1|HILL	LOC108078190|XP_017027347.1|DKIK, LOC108078326|XP_017027614.1|DKIK, LOC108078191|XP_017027348.1|DKIK, LOC108078192|XP_017027349.1|DKIK, LOC108072495|XP_017019150.1|DKIK, LOC108078211|XP_017027385.1|DKIK, LOC108070821|XP_017016922.1|DKIK
OG0000025	LOC119656929|XP_037919551.1|HILL	LOC108086239|XP_017038600.1|DKIK
OG0000026	LOC119659564|XP_037923645.1|HILL, LOC119661498|XP_037926792.1|HILL, LOC119659988|XP_037924291.1|HILL, LOC119661156|XP_037926296.1|HILL, LOC119659252|XP_037923171.1|HILL, LOC119646680|XP_037903163.1|HILL, LOC119658440|XP_037921774.1|HILL	LOC108074121|XP_017021510.1|DKIK
OG0000026	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL, LOC119646826|XP_037903373.1|HILL, LOC119646827|XP_037903374.1|HILL, LOC119657211|XP_037919952.1|HILL, LOC119653441|XP_037913962.1|HILL, LOC119653448|XP_037913983.1|HILL, LOC119653445|XP_037913971.1|HILL, LOC119659165|XP_037923049.1|HILL, LOC119653403|XP_037913899.1|HILL, LOC119653384|XP_037913865.1|HILL, LOC119661435|XP_037926709.1|HILL, LOC119661341|XP_037926570.1|HILL, LOC119653369|XP_037913843.1|HILL, LOC119653378|XP_037913854.1|HILL, LOC119653334|XP_037913834.1|HILL, LOC119653413|XP_037913912.1|HILL, LOC119653427|XP_037913936.1|HILL, LOC119653391|XP_037913879.1|HILL, LOC119660889|XP_037925747.1|HILL, LOC119661656|XP_037927018.1|HILL, LOC119661352|XP_037926586.1|HILL, LOC119646216|XP_037902530.1|HILL, LOC119653394|XP_037913888.1|HILL, LOC119646839|XP_037903384.1|HILL, LOC119653436|XP_037913948.1|HILL, LOC119661382|XP_037926628.1|HILL	LOC108079334|XP_017029126.1|DKIK, LOC108070686|XP_017016752.1|DKIK, LOC108075406|XP_017023320.1|DKIK
OG0000027	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL	LOC108079587|XP_017029421.1|DKIK
OG0000027	LOC119661224|XP_037926378.1|HILL	LOC108079588|XP_017029422.1|DKIK
OG0000028	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL	LOC108083651|XP_017035012.1|DKIK, LOC108083637|XP_017034996.1|DKIK
OG0000029	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL	LOC108082661|XP_017033647.1|DKIK, LOC108077932|XP_017026959.1|DKIK, LOC108076869|XP_017025387.1|DKIK, LOC108085551|XP_017037679.1|DKIK, LOC108076852|XP_017025371.1|DKIK, LOC108076861|XP_017025380.1|DKIK, LOC108071402|XP_017017634.1|DKIK, LOC108071413|XP_017017648.1|DKIK, LOC108071416|XP_017017651.1|DKIK, LOC108071401|XP_017017633.1|DKIK, LOC108080624|XP_017030937.1|DKIK
OG0000030	LOC119655438|XP_037917260.1|HILL, LOC119655923|XP_037918019.1|HILL	LOC108083344|XP_017034576.1|DKIK
OG0000030	LOC119657614|XP_037920544.1|HILL, LOC119658220|XP_037921414.1|HILL, LOC119652152|XP_037912025.1|HILL, LOC119651962|XP_037911752.1|HILL, LOC119652153|XP_037912026.1|HILL, LOC119651872|XP_037911606.1|HILL, LOC119652262|XP_037912171.1|HILL, LOC119652159|XP_037912033.1|HILL, LOC119652156|XP_037912029.1|HILL, LOC119652154|XP_037912027.1|HILL, LOC119652161|XP_037912035.1|HILL, LOC119652155|XP_037912028.1|HILL, LOC119652157|XP_037912030.1|HILL, LOC119652160|XP_037912034.1|HILL, LOC119652158|XP_037912032.1|HILL, LOC119652148|XP_037912021.1|HILL, LOC119651769|XP_037911438.1|HILL, LOC119652149|XP_037912022.1|HILL, LOC119652150|XP_037912023.1|HILL, LOC119651933|XP_037911698.1|HILL, LOC119651787|XP_037911474.1|HILL, LOC119652304|XP_037912242.1|HILL, LOC119652276|XP_037912196.1|HILL, LOC119652147|XP_037912020.1|HILL, LOC119651927|XP_037911689.1|HILL, LOC119651487|XP_037911028.1|HILL, LOC119652771|XP_037913007.1|HILL, LOC119652162|XP_037912036.1|HILL, LOC119651706|XP_037911347.1|HILL	LOC108079999|XP_017030054.1|DKIK
OG0000031	LOC119654438|XP_037915765.1|HILL	LOC108082121|XP_017032911.1|DKIK, LOC108075780|XP_017023827.1|DKIK, LOC108075783|XP_017023831.1|DKIK, LOC108075781|XP_017023828.1|DKIK, LOC108075782|XP_017023829.1|DKIK
OG0000031	LOC119655224|XP_037916931.1|HILL	LOC108077225|XP_017025972.1|DKIK
OG0000032	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL	LOC108077824|XP_017026839.1|DKIK, LOC108077790|XP_017026779.1|DKIK, LOC108077711|XP_017026651.1|DKIK, LOC108077713|XP_017026652.1|DKIK, LOC108077714|XP_017026653.1|DKIK, LOC108077612|XP_017026507.1|DKIK, LOC108077846|XP_017026865.1|DKIK, LOC108074977|XP_017022699.1|DKIK, LOC108077827|XP_017026841.1|DKIK, LOC108077828|XP_017026842.1|DKIK, LOC108077628|XP_017026527.1|DKIK
OG0000034	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL	LOC108076887|XP_017025407.1|DKIK, LOC108076912|XP_017025444.1|DKIK, LOC108076836|XP_017025354.1|DKIK, LOC108076909|XP_017025438.1|DKIK, LOC108077295|XP_017026063.1|DKIK, LOC108082752|XP_017033757.1|DKIK, LOC108082754|XP_017033758.1|DKIK, LOC108082755|XP_017033759.1|DKIK
OG0000036	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL	LOC108084034|XP_017035539.1|DKIK
